name,dob,houseID,houseZip,paymentDate,paymentAmount,rentAmount,age,city,county,state,status
Denny Paschall,1900-01-01,561,92130,2011-08-01,1077.0,1077.0,122,San Diego,San Diego County,CA,low risk
Cecila Books,1954-07-06,343,92172,2010-06-01,1191.0,1191.0,68,San Diego,San Diego County,CA,low risk
Leo Moorhouse,1900-01-01,1391,92114,2010-03-01,1838.0,1838.0,122,San Diego,San Diego County,CA,low risk
Lynetta Soltani,1900-01-01,1498,92172,2010-12-01,1316.0,1316.0,122,San Diego,San Diego County,CA,low risk
Taneka Noto,1992-05-09,2216,92110,2012-03-01,988.0,988.0,30,San Diego,San Diego County,CA,low risk
Fermin Nunley,1986-01-10,766,92145,2010-04-01,1726.0,1726.0,36,San Diego,San Diego County,CA,low risk
Kyoko Khalil,1900-01-01,1300,92164,2010-08-02,1503.0,1503.0,122,San Diego,San Diego County,CA,low risk
Keitha Claude,1982-08-16,1234,92155,2011-10-01,1322.0,1322.0,40,San Diego,San Diego County,CA,low risk
Dona Warnock,1900-01-01,596,92166,2010-06-01,917.0,917.0,122,San Diego,San Diego County,CA,low risk
Chelsie Dunmore,1983-10-07,378,92171,2012-08-07,1367.0,1367.0,39,San Diego,San Diego County,CA,low risk
Maida Curci,1900-01-01,1532,92116,2012-03-02,1337.0,1337.0,122,San Diego,San Diego County,CA,low risk
Signe Graney,1900-01-01,2144,92162,2010-06-01,1394.0,1394.0,122,San Diego,San Diego County,CA,low risk
Alberta Paugh,1900-01-01,33,92160,2010-11-01,1294.0,1294.0,122,San Diego,San Diego County,CA,low risk
Douglas Halbrook,1900-01-01,609,92107,2012-05-07,1866.0,1866.0,122,San Diego,San Diego County,CA,low risk
Luisa Robb,1900-01-01,1486,92162,2012-06-01,1819.0,1819.0,122,San Diego,San Diego County,CA,low risk
Sabrina Fleischman,1900-01-01,2025,92112,2012-01-03,1706.0,1706.0,122,San Diego,San Diego County,CA,low risk
Tora Epperly,1988-07-26,2306,92106,2012-05-01,1569.0,1569.0,34,San Diego,San Diego County,CA,low risk
Laurette Bollman,1991-10-26,1350,92117,2011-08-01,-266.7,1778.0,31,San Diego,San Diego County,CA,low risk
Vanessa Marty,1900-01-01,2359,92195,2012-03-01,2178.0,2178.0,122,San Diego,San Diego County,CA,low risk
Lavon Lossing,1900-01-01,1355,92161,2011-06-01,1789.0,1789.0,122,San Diego,San Diego County,CA,low risk
Delphia Palacio,1900-01-01,550,92128,2011-03-01,-284.25,1895.0,122,San Diego,San Diego County,CA,low risk
Signe Graney,1900-01-01,2144,92162,2010-09-01,1394.0,1394.0,122,San Diego,San Diego County,CA,low risk
Ranee Bessler,1900-01-01,1914,92174,2011-05-01,1773.0,1773.0,122,San Diego,San Diego County,CA,low risk
Ramona Daughtry,1900-01-01,1910,92187,2012-03-06,1543.0,1543.0,122,San Diego,San Diego County,CA,low risk
Mae Sarvis,1900-01-01,1518,92176,2011-12-06,1551.0,1551.0,122,San Diego,San Diego County,CA,low risk
Ursula Celestine,1989-07-05,2350,92166,2011-05-01,1667.0,1667.0,33,San Diego,San Diego County,CA,low risk
Gaye Donohue,1900-01-01,817,92124,2011-03-02,1398.0,1398.0,122,San Diego,San Diego County,CA,low risk
Burton Hyden,1972-04-28,268,92132,2011-07-03,779.0,779.0,50,San Diego,San Diego County,CA,low risk
Shanika Harlow,1994-06-13,2076,92113,2011-07-01,1257.0,1257.0,28,San Diego,San Diego County,CA,low risk
Claudie Demuth,1900-01-01,416,92176,2010-05-02,1131.0,1131.0,122,San Diego,San Diego County,CA,low risk
Treasa Desai,1900-01-01,2318,92137,2011-04-05,1992.0,1992.0,122,San Diego,San Diego County,CA,low risk
Holli Gilliard,1992-03-21,944,92197,2011-01-01,1768.0,1768.0,30,San Diego,San Diego County,CA,low risk
Rubin Gutierrez,1999-07-10,2003,92153,2012-09-01,1208.0,1208.0,23,San Diego,San Diego County,CA,low risk
Lecia Cavin,2004-04-12,1366,92167,2011-06-01,1604.0,1604.0,18,San Diego,San Diego County,CA,low risk
Alica Lomax,1973-06-23,50,92130,2012-02-04,1335.0,1335.0,49,San Diego,San Diego County,CA,low risk
Annamaria Weatherholt,1900-01-01,111,92135,2012-09-05,1388.0,1388.0,122,San Diego,San Diego County,CA,low risk
Vita Lizaola,1976-10-21,2391,92105,2010-02-01,1125.0,1125.0,46,San Diego,San Diego County,CA,low risk
Isaac Ivery,2007-10-08,981,92119,2011-11-01,1478.0,1478.0,15,San Diego,San Diego County,CA,low risk
Amos Penhollow,1979-01-27,84,92171,2011-01-01,947.0,947.0,43,San Diego,San Diego County,CA,low risk
Merrilee Oehler,1900-01-01,1675,92169,2011-10-01,1592.0,1592.0,122,San Diego,San Diego County,CA,low risk
Shantae Bewley,1969-10-10,2082,92111,2010-02-01,1008.0,1008.0,53,San Diego,San Diego County,CA,low risk
Amee Eakin,1900-01-01,81,92184,2011-02-01,1841.0,1841.0,122,San Diego,San Diego County,CA,low risk
Nicolas Ripley,1900-01-01,1792,92138,2011-11-01,1555.0,1555.0,122,San Diego,San Diego County,CA,low risk
Tonie Hossain,1900-01-01,2301,92187,2010-05-01,1770.0,1770.0,122,San Diego,San Diego County,CA,low risk
Chara Starkes,1976-10-17,365,92111,2010-09-01,1781.0,1781.0,46,San Diego,San Diego County,CA,low risk
Clifton Ellwood,1993-11-02,430,92103,2012-05-01,1233.0,1233.0,29,San Diego,San Diego County,CA,low risk
Tawna Watanabe,1900-01-01,2230,92102,2011-06-04,1809.0,1809.0,122,San Diego,San Diego County,CA,low risk
Zofia Bilodeau,2004-09-28,2468,92124,2010-03-06,1665.0,1665.0,18,San Diego,San Diego County,CA,low risk
Felicia Mcanulty,1900-01-01,761,92177,2012-04-01,1664.0,1664.0,122,San Diego,San Diego County,CA,low risk
Nida Gardella,1900-01-01,1795,92132,2010-02-01,1083.0,1083.0,122,San Diego,San Diego County,CA,low risk
Bennie Schunk,1969-05-27,194,92109,2011-05-01,1415.0,1415.0,53,San Diego,San Diego County,CA,low risk
Carlo Criner,1900-01-01,303,92127,2010-07-01,777.0,777.0,122,San Diego,San Diego County,CA,low risk
Earlean Cichon,1900-01-01,619,92104,2012-05-06,1056.0,1056.0,122,San Diego,San Diego County,CA,low risk
Mignon Funes,1900-01-01,1696,92175,2010-03-01,1540.0,1540.0,122,San Diego,San Diego County,CA,low risk
Antwan Delia,1900-01-01,124,92135,2011-12-01,1154.0,1154.0,122,San Diego,San Diego County,CA,low risk
Dortha Holtzman,1979-06-02,604,92111,2012-01-01,1611.0,1611.0,43,San Diego,San Diego County,CA,low risk
Suk Gould,1969-12-18,2186,92179,2011-11-01,1531.0,1531.0,53,San Diego,San Diego County,CA,low risk
Sandy Mckie,1962-01-23,2045,92174,2010-07-01,1637.0,1637.0,60,San Diego,San Diego County,CA,low risk
Jessia Stepney,1972-10-04,1110,92139,2011-02-01,1556.0,1556.0,50,San Diego,San Diego County,CA,low risk
Rocio Lukens,1900-01-01,1955,92171,2010-06-01,1172.0,1172.0,122,San Diego,San Diego County,CA,low risk
Corinne Cimini,2004-10-18,449,92107,2011-12-01,1731.0,1731.0,18,San Diego,San Diego County,CA,low risk
Cinda Minor,1900-01-01,402,92122,2010-05-01,1361.0,1361.0,122,San Diego,San Diego County,CA,low risk
Rubie Mirarchi,1982-01-07,2001,92135,2011-01-01,1212.0,1212.0,40,San Diego,San Diego County,CA,low risk
Zona Thorton,1900-01-01,2475,92124,2010-02-02,1661.0,1661.0,122,San Diego,San Diego County,CA,low risk
Josue Baden,1987-07-21,1160,92112,2011-12-01,1903.0,1903.0,35,San Diego,San Diego County,CA,low risk
Giuseppina Payeur,1998-03-03,864,92177,2012-06-01,1796.0,1796.0,24,San Diego,San Diego County,CA,low risk
Janie Pahl,1900-01-01,1043,92168,2012-01-01,1375.0,1375.0,122,San Diego,San Diego County,CA,low risk
Yevette Vickers,1900-01-01,2452,92133,2010-11-02,1180.0,1180.0,122,San Diego,San Diego County,CA,low risk
Jeana Pace,1969-04-05,1076,92191,2011-11-04,1429.0,1429.0,53,San Diego,San Diego County,CA,low risk
Trudie Hilchey,1900-01-01,2331,92186,2010-02-01,972.0,972.0,122,San Diego,San Diego County,CA,low risk
Reita Evett,1900-01-01,1930,92193,2010-07-01,1715.0,1715.0,122,San Diego,San Diego County,CA,low risk
Hwa Gano,1983-02-05,960,92175,2011-04-01,1434.0,1434.0,39,San Diego,San Diego County,CA,low risk
Hwa Teske,1900-01-01,961,92176,2012-04-01,1012.0,1012.0,122,San Diego,San Diego County,CA,low risk
Carl Hickerson,1950-08-13,300,92198,2010-02-01,1697.0,1697.0,72,San Diego,San Diego County,CA,low risk
Cherise Chaney,1900-01-01,383,92132,2011-03-01,1789.0,1789.0,122,San Diego,San Diego County,CA,low risk
Burl Nevius,1900-01-01,267,92102,2011-04-01,1852.0,1852.0,122,San Diego,San Diego County,CA,low risk
Odelia Dugan,1995-04-18,1830,92190,2010-08-01,1290.0,1290.0,27,San Diego,San Diego County,CA,low risk
Meghann Moorman,1981-11-01,1651,92119,2012-05-01,855.0,855.0,41,San Diego,San Diego County,CA,low risk
Rudy Stirling,2005-04-02,2008,92136,2011-08-01,1362.0,1362.0,17,San Diego,San Diego County,CA,low risk
Rebekah Eichhorn,1953-11-27,1926,92152,2010-07-01,1874.0,1874.0,69,San Diego,San Diego County,CA,low risk
Inge Campion,1900-01-01,973,92192,2012-03-01,1828.0,1828.0,122,San Diego,San Diego County,CA,low risk
Nubia Schebler,1969-06-27,1821,92104,2011-05-02,1690.0,1690.0,53,San Diego,San Diego County,CA,low risk
Kory Knapper,1984-08-06,1277,92169,2010-07-01,1743.0,1743.0,38,San Diego,San Diego County,CA,low risk
Maggie Favorite,1980-02-27,1530,92174,2011-09-01,1510.0,1510.0,42,San Diego,San Diego County,CA,low risk
Chana Kulp,1900-01-01,355,92137,2012-07-01,1186.0,1186.0,122,San Diego,San Diego County,CA,low risk
Ernest Mulkey,1900-01-01,716,92176,2010-11-08,2169.0,2169.0,122,San Diego,San Diego County,CA,low risk
Lavon Lossing,1900-01-01,1355,92161,2011-03-01,1789.0,1789.0,122,San Diego,San Diego County,CA,low risk
Sacha Mayhew,1998-07-08,2028,92113,2010-09-01,1545.0,1545.0,24,San Diego,San Diego County,CA,low risk
Fe Leader,1900-01-01,758,92195,2011-09-01,1414.0,1414.0,122,San Diego,San Diego County,CA,low risk
Tonie Hossain,1900-01-01,2301,92187,2012-06-01,1770.0,1770.0,122,San Diego,San Diego County,CA,low risk
Ignacio Piel,1951-06-27,968,92119,2011-02-01,1587.0,1587.0,71,San Diego,San Diego County,CA,low risk
Theron Galeana,1982-07-13,2265,92158,2011-03-01,1404.0,1404.0,40,San Diego,San Diego County,CA,low risk
Chante Mowery,1900-01-01,361,92129,2011-04-01,1555.0,1555.0,122,San Diego,San Diego County,CA,low risk
Lucila Gaskamp,1900-01-01,1472,92131,2010-09-01,1930.0,1930.0,122,San Diego,San Diego County,CA,low risk
Keeley Bumgardner,1900-01-01,1228,92133,2011-12-01,1235.0,1235.0,122,San Diego,San Diego County,CA,low risk
Carmelita Kepley,1900-01-01,310,92196,2011-02-01,1683.0,1683.0,122,San Diego,San Diego County,CA,low risk
Ouida Vanzile,1900-01-01,1853,92147,2012-09-01,1593.0,1593.0,122,San Diego,San Diego County,CA,low risk
Giuseppe Rodriquez,1985-04-06,862,92124,2010-04-01,2078.0,2078.0,37,San Diego,San Diego County,CA,low risk
Kamala Harrison,1900-01-01,1187,92128,2012-03-01,1358.0,1358.0,122,San Diego,San Diego County,CA,low risk
Francisca Heth,1973-11-04,795,92115,2010-04-01,1681.0,1681.0,49,San Diego,San Diego County,CA,low risk
Kalyn Redner,1900-01-01,1186,92130,2010-12-05,1466.0,1466.0,122,San Diego,San Diego County,CA,low risk
Deandra Tagle,1965-06-25,524,92193,2011-09-01,1842.0,1842.0,57,San Diego,San Diego County,CA,low risk
Renita Delao,1900-01-01,1936,92155,2011-07-01,1598.0,1598.0,122,San Diego,San Diego County,CA,low risk
Dahlia Quade,1900-01-01,467,92198,2010-05-01,1566.0,1566.0,122,San Diego,San Diego County,CA,low risk
Giovanna Wakefield,1992-02-04,852,92174,2011-01-01,1401.0,1401.0,30,San Diego,San Diego County,CA,low risk
Twila Alfieri,1900-01-01,2337,92171,2012-03-01,972.0,972.0,122,San Diego,San Diego County,CA,low risk
Demarcus Edler,1987-05-15,555,92123,2011-11-01,1622.0,1622.0,35,San Diego,San Diego County,CA,low risk
Theron Galeana,1982-07-13,2265,92158,2011-09-01,1404.0,1404.0,40,San Diego,San Diego County,CA,low risk
Meagan Mitchum,1984-01-19,1649,92179,2012-04-01,1661.0,1661.0,38,San Diego,San Diego County,CA,low risk
Jasmine Caines,1900-01-01,1058,92170,2012-04-01,1451.0,1451.0,122,San Diego,San Diego County,CA,low risk
Herschel Albert,1991-11-02,936,92140,2011-05-01,1903.0,1903.0,31,San Diego,San Diego County,CA,low risk
Fran Cardinal,1951-11-26,793,92106,2011-11-05,1504.0,1504.0,71,San Diego,San Diego County,CA,low risk
Stasia Schindler,1900-01-01,2174,92127,2010-06-01,2277.0,2277.0,122,San Diego,San Diego County,CA,low risk
Carolyne Radley,1900-01-01,324,92192,2011-11-02,1876.0,1876.0,122,San Diego,San Diego County,CA,low risk
Marybeth Gula,1966-05-05,1629,92109,2011-09-01,1746.0,1746.0,56,San Diego,San Diego County,CA,low risk
Signe Graney,1900-01-01,2144,92162,2011-11-01,1394.0,1394.0,122,San Diego,San Diego County,CA,low risk
Tyson High,1985-11-13,2349,92158,2010-06-01,-327.3,2182.0,37,San Diego,San Diego County,CA,low risk
Nida Gardella,1900-01-01,1795,92132,2010-07-01,1083.0,1083.0,122,San Diego,San Diego County,CA,low risk
Margo Zoeller,1900-01-01,1572,92104,2011-11-01,1716.0,1716.0,122,San Diego,San Diego County,CA,low risk
Lonna Meek,1900-01-01,1444,92194,2012-05-06,1770.0,1770.0,122,San Diego,San Diego County,CA,low risk
Sonny Hayslip,1982-08-26,2160,92168,2011-03-04,1531.0,1531.0,40,San Diego,San Diego County,CA,low risk
Kati Sharif,1900-01-01,1218,92114,2012-03-03,1858.0,1858.0,122,San Diego,San Diego County,CA,low risk
Luanne Eppler,1900-01-01,1469,92170,2012-09-01,1991.0,1991.0,122,San Diego,San Diego County,CA,low risk
Jacquelyn Sergent,1900-01-01,1008,92179,2011-11-01,1764.0,1764.0,122,San Diego,San Diego County,CA,low risk
Adrian Moe,1947-09-23,15,92184,2012-04-01,1363.0,1363.0,75,San Diego,San Diego County,CA,low risk
Leigh Culton,1987-08-09,1374,92140,2010-07-01,2005.0,2005.0,35,San Diego,San Diego County,CA,low risk
Morris Poage,1900-01-01,1730,92137,2011-08-01,1617.0,1617.0,122,San Diego,San Diego County,CA,low risk
Kittie Benoit,1966-10-21,1268,92124,2011-05-01,1601.0,1601.0,56,San Diego,San Diego County,CA,low risk
Cory Savage,1984-08-18,454,92117,2012-06-01,1750.0,1750.0,38,San Diego,San Diego County,CA,low risk
Kirk Ricard,1973-12-11,1261,92122,2012-08-01,1745.0,1745.0,49,San Diego,San Diego County,CA,low risk
Alice Wehling,1973-04-14,53,92112,2010-09-01,1685.0,1685.0,49,San Diego,San Diego County,CA,low risk
Johanne Behr,1900-01-01,1132,92104,2010-08-01,1681.0,1681.0,122,San Diego,San Diego County,CA,low risk
Ethelene Monaco,1900-01-01,724,92109,2010-05-01,1086.0,1086.0,122,San Diego,San Diego County,CA,low risk
Jeannetta Fravel,1962-08-07,1081,92184,2010-11-01,831.0,831.0,60,San Diego,San Diego County,CA,low risk
Chantal Gaut,1900-01-01,357,92139,2010-10-01,1831.0,1831.0,122,San Diego,San Diego County,CA,low risk
Deon Noble,1900-01-01,566,92176,2012-05-04,1627.0,1627.0,122,San Diego,San Diego County,CA,low risk
Marlys Mulvihill,1900-01-01,1610,92132,2010-06-01,1343.0,1343.0,122,San Diego,San Diego County,CA,low risk
Janette Flowers,1900-01-01,1038,92162,2011-09-08,1641.0,1641.0,122,San Diego,San Diego County,CA,low risk
Paola Buerger,1900-01-01,1860,92193,2010-08-01,1187.0,1187.0,122,San Diego,San Diego County,CA,low risk
Kizzy Finkbeiner,1967-11-22,1271,92176,2011-10-01,1369.0,1369.0,55,San Diego,San Diego County,CA,low risk
Sheri Lanni,1900-01-01,2120,92193,2011-11-02,897.0,897.0,122,San Diego,San Diego County,CA,low risk
Kylie Beumer,1900-01-01,1299,92171,2011-12-01,1687.0,1687.0,122,San Diego,San Diego County,CA,low risk
Estefana Eccleston,1981-03-04,719,92124,2012-09-01,1837.0,1837.0,41,San Diego,San Diego County,CA,low risk
Jame Metzer,1900-01-01,1022,92109,2010-10-01,1292.0,1292.0,122,San Diego,San Diego County,CA,low risk
Kendra Brumit,1900-01-01,1240,92114,2011-12-01,1815.0,1815.0,122,San Diego,San Diego County,CA,low risk
Eden Tibbals,1996-02-25,622,92134,2010-03-01,1672.0,1672.0,26,San Diego,San Diego County,CA,low risk
Emilie Fairley,1993-11-18,692,92184,2011-06-05,1010.0,1010.0,29,San Diego,San Diego County,CA,low risk
Mayme Graybill,1900-01-01,1646,92184,2011-03-01,1516.0,1516.0,122,San Diego,San Diego County,CA,low risk
Amos Penhollow,1979-01-27,84,92171,2011-08-01,947.0,947.0,43,San Diego,San Diego County,CA,low risk
Cletus Nitta,1978-08-03,428,92153,2010-07-01,1726.0,1726.0,44,San Diego,San Diego County,CA,low risk
Tula Dooling,1900-01-01,2336,92109,2012-06-01,1703.0,1703.0,122,San Diego,San Diego County,CA,low risk
Hiedi Venson,1900-01-01,939,92184,2012-01-01,1389.0,1389.0,122,San Diego,San Diego County,CA,low risk
Ignacio Piel,1951-06-27,968,92119,2010-06-01,1587.0,1587.0,71,San Diego,San Diego County,CA,low risk
Bruno Newbern,1993-05-25,254,92154,2010-04-01,1538.0,1538.0,29,San Diego,San Diego County,CA,low risk
Lynetta Soltani,1900-01-01,1498,92172,2011-02-01,1316.0,1316.0,122,San Diego,San Diego County,CA,low risk
Raylene Paff,1976-06-25,1916,92129,2012-06-01,1020.0,1020.0,46,San Diego,San Diego County,CA,low risk
Catalina Fritze,1940-04-21,337,92150,2012-04-01,892.0,892.0,82,San Diego,San Diego County,CA,low risk
Sean Sharman,1900-01-01,2058,92153,2011-08-02,1321.0,1321.0,122,San Diego,San Diego County,CA,low risk
Melony Seavey,1900-01-01,1664,92123,2011-09-01,1481.0,1481.0,122,San Diego,San Diego County,CA,low risk
Kyoko Khalil,1900-01-01,1300,92164,2010-05-01,1503.0,1503.0,122,San Diego,San Diego County,CA,low risk
Margarette Rutherford,1900-01-01,1565,92198,2011-04-01,1446.0,1446.0,122,San Diego,San Diego County,CA,low risk
Sean Sharman,1900-01-01,2058,92153,2011-07-01,1321.0,1321.0,122,San Diego,San Diego County,CA,low risk
Luigi Chew,1979-12-06,1482,92182,2010-09-01,1488.0,1488.0,43,San Diego,San Diego County,CA,low risk
Stasia Schindler,1900-01-01,2174,92127,2010-04-02,2277.0,2277.0,122,San Diego,San Diego County,CA,low risk
Georgette Kowalczyk,1986-12-05,834,92136,2011-01-01,2303.0,2303.0,36,San Diego,San Diego County,CA,low risk
Darron Schaffer,1900-01-01,512,92133,2012-06-01,1733.0,1733.0,122,San Diego,San Diego County,CA,low risk
Mica More,1991-02-02,1681,92191,2010-11-01,1357.0,1357.0,31,San Diego,San Diego County,CA,low risk
Leonila Gillispie,1900-01-01,1397,92166,2011-09-06,2021.0,2021.0,122,San Diego,San Diego County,CA,low risk
Luisa Geibel,1982-09-27,1484,92130,2012-02-01,1132.0,1132.0,40,San Diego,San Diego County,CA,low risk
Delphia Palacio,1900-01-01,550,92128,2011-01-01,1895.0,1895.0,122,San Diego,San Diego County,CA,low risk
Dana Mckamey,1900-01-01,480,92167,2010-12-01,1656.0,1656.0,122,San Diego,San Diego County,CA,low risk
Madeline Chae,1977-05-05,1515,92131,2010-04-01,1605.0,1605.0,45,San Diego,San Diego County,CA,low risk
Lesa Bever,1957-09-12,1402,92170,2011-10-01,1670.0,1670.0,65,San Diego,San Diego County,CA,low risk
Wanetta Fyfe,1900-01-01,2408,92113,2011-12-01,1916.0,1916.0,122,San Diego,San Diego County,CA,low risk
Magali Leveque,1959-05-14,1519,92134,2010-05-01,1422.0,1422.0,63,San Diego,San Diego County,CA,low risk
Tabatha Wysong,1900-01-01,2197,92174,2011-11-01,1630.0,1630.0,122,San Diego,San Diego County,CA,low risk
Soon Pouncy,1900-01-01,2164,92123,2012-07-01,1413.0,1413.0,122,San Diego,San Diego County,CA,low risk
Moses Hadlock,1944-05-23,1731,92147,2011-02-01,1274.0,1274.0,78,San Diego,San Diego County,CA,low risk
Bennie Frisbie,2000-12-25,192,92167,2010-05-01,1259.0,1259.0,22,San Diego,San Diego County,CA,low risk
Samuel Behrens,1900-01-01,2041,92179,2010-08-04,1810.0,1810.0,122,San Diego,San Diego County,CA,low risk
Mellissa Ardon,1900-01-01,1661,92176,2012-06-01,1330.0,1330.0,122,San Diego,San Diego County,CA,low risk
Agustina Spargo,1900-01-01,21,92111,2011-04-02,2289.0,2289.0,122,San Diego,San Diego County,CA,low risk
Eladia Chapin,1900-01-01,637,92116,2012-06-01,1529.0,1529.0,122,San Diego,San Diego County,CA,low risk
Karry Cesare,1981-10-24,1201,92174,2011-06-01,1535.0,1535.0,41,San Diego,San Diego County,CA,low risk
Kylie Beumer,1900-01-01,1299,92171,2011-09-01,1687.0,1687.0,122,San Diego,San Diego County,CA,low risk
Belva Brownstein,1983-06-02,190,92139,2012-06-01,1494.0,1494.0,39,San Diego,San Diego County,CA,low risk
Dane Reeve,2005-08-19,481,92109,2011-12-01,1387.0,1387.0,17,San Diego,San Diego County,CA,low risk
Sonny Frenette,1965-07-24,2159,92124,2010-12-01,1200.0,1200.0,57,San Diego,San Diego County,CA,low risk
Roni Sasso,1995-04-28,1966,92168,2012-08-07,1537.0,1537.0,27,San Diego,San Diego County,CA,low risk
Mandi Delao,1900-01-01,1548,92172,2012-06-05,1937.0,1937.0,122,San Diego,San Diego County,CA,low risk
Maribeth Pretty,1900-01-01,1580,92172,2010-08-01,1161.0,1161.0,122,San Diego,San Diego County,CA,low risk
Gwyn Luft,1985-01-03,895,92160,2010-03-08,1678.0,1678.0,37,San Diego,San Diego County,CA,low risk
Dalia Sackett,1900-01-01,470,92165,2010-03-01,1804.0,1804.0,122,San Diego,San Diego County,CA,low risk
Vernice Daves,1962-07-28,2371,92109,2011-07-01,1628.0,1628.0,60,San Diego,San Diego County,CA,low risk
Tricia Seevers,1993-01-06,2326,92116,2010-02-01,1739.0,1739.0,29,San Diego,San Diego County,CA,low risk
Larita Crary,1993-01-08,1325,92110,2011-07-01,764.0,764.0,29,San Diego,San Diego County,CA,low risk
Brigitte Prom,1900-01-01,246,92164,2011-11-01,1743.0,1743.0,122,San Diego,San Diego County,CA,low risk
Timmy Baumer,1991-05-20,2276,92114,2011-02-01,1260.0,1260.0,31,San Diego,San Diego County,CA,low risk
Marcelino Benard,1979-12-10,1549,92152,2011-11-01,1293.0,1293.0,43,San Diego,San Diego County,CA,low risk
Merry Quisenberry,1999-02-27,1678,92163,2010-12-01,1485.0,1485.0,23,San Diego,San Diego County,CA,low risk
Elda Owusu,1900-01-01,640,92147,2010-04-01,1056.0,1056.0,122,San Diego,San Diego County,CA,low risk
Dana Mckamey,1900-01-01,480,92167,2011-07-01,1656.0,1656.0,122,San Diego,San Diego County,CA,low risk
Jeannetta Fravel,1962-08-07,1081,92184,2010-10-01,831.0,831.0,60,San Diego,San Diego County,CA,low risk
Buffy Bruening,1900-01-01,263,92172,2011-08-01,1736.0,1736.0,122,San Diego,San Diego County,CA,low risk
Rosaura Lamorte,1980-01-02,1984,92136,2011-07-01,1930.0,1930.0,42,San Diego,San Diego County,CA,low risk
Gerard Jones,1900-01-01,838,92105,2010-03-01,1431.0,1431.0,122,San Diego,San Diego County,CA,low risk
Queen Heideman,1981-05-21,1900,92132,2012-01-01,1305.0,1305.0,41,San Diego,San Diego County,CA,low risk
Oneida Broome,1965-12-17,1843,92107,2011-05-01,1549.0,1549.0,57,San Diego,San Diego County,CA,low risk
Lashawn Rotella,1985-12-05,1336,92190,2012-01-01,1930.0,1930.0,37,San Diego,San Diego County,CA,low risk
Muriel Shorey,1900-01-01,1734,92138,2010-11-01,1508.0,1508.0,122,San Diego,San Diego County,CA,low risk
Sherell Burnley,1900-01-01,2116,92119,2011-11-02,985.0,985.0,122,San Diego,San Diego County,CA,low risk
Jackson Noland,2007-07-11,1003,92150,2010-04-01,1478.0,1478.0,15,San Diego,San Diego County,CA,low risk
Anh Honn,1980-03-23,101,92149,2011-02-03,1597.0,1597.0,42,San Diego,San Diego County,CA,low risk
