name,dob,houseID,houseZip,paymentDate,paymentAmount,rentAmount,age
Ahmed Lisby,1959-01-15,24,92103,2012-05-01,1641.0,1641.0,63
Joy Rowlands,1900-01-01,1162,92123,2010-04-01,1040.0,1040.0,122
Arlena Oren,1900-01-01,139,92172,2012-02-01,917.0,917.0,122
Miki Harnage,1900-01-01,1698,92129,2011-02-01,1460.0,1460.0,122
Tessie Calfee,1900-01-01,2257,92150,2011-08-03,1348.0,1348.0,122
Tomeka Ehrhardt,1900-01-01,2289,92111,2012-07-01,1223.0,1223.0,122
Jeannetta Fravel,1962-08-07,1081,92184,2010-11-01,831.0,831.0,60
Ettie Bushong,1900-01-01,727,92111,2012-04-01,1280.0,1280.0,122
Harland Reisch,1900-01-01,911,92186,2012-03-01,2148.0,2148.0,122
Toshiko Sacco,1900-01-01,2310,92187,2010-05-04,692.0,692.0,122
Lani Hessler,1900-01-01,1319,92138,2010-09-01,1464.0,1464.0,122
Annabel Rolph,1969-07-04,108,92147,2010-11-01,1434.0,1434.0,53
Risa Gallaway,1900-01-01,1951,92174,2012-03-14,2380.0,2164.0,122
Lita Michalik,1900-01-01,1432,92139,2011-10-01,1655.0,1655.0,122
Rebekah Weatherly,1900-01-01,1928,92138,2011-10-02,943.0,943.0,122
Julieta Weaver,1900-01-01,1174,92179,2010-02-04,1586.0,1586.0,122
Inge Campion,1900-01-01,973,92192,2010-05-01,1828.0,1828.0,122
Jamaal Noon,1900-01-01,1019,92111,2011-01-03,1138.0,1138.0,122
Milda Leick,1970-09-17,1700,92172,2010-09-01,1776.0,1776.0,52
Arcelia Petrick,1958-06-06,125,92142,2011-06-01,1564.0,1564.0,64
Cleta Beachy,1900-01-01,424,92135,2011-01-01,1445.0,1445.0,122
Paulina Lefort,1970-05-22,1869,92129,2010-06-01,1324.0,1324.0,52
Efren Wilk,1939-10-05,634,92193,2011-02-01,2298.0,2298.0,83
Kenyetta Mistretta,2001-05-20,1244,92127,2010-07-01,1489.0,1489.0,21
Vincenza Conant,1900-01-01,2385,92127,2012-03-01,1297.0,1297.0,122
Ethelene Monaco,1900-01-01,724,92109,2011-04-01,1086.0,1086.0,122
Ettie Rozek,1983-04-09,731,92127,2012-01-01,-204.0,1360.0,39
Hayden Holford,1900-01-01,922,92138,2010-07-01,2097.0,2097.0,122
Lashandra Flannagan,1971-06-26,1330,92104,2011-11-01,1519.0,1519.0,51
Blanche Bugarin,1991-09-03,220,92142,2010-11-01,1603.0,1603.0,31
Susannah Camilleri,1900-01-01,2189,92109,2012-07-01,1520.0,1520.0,122
Mellisa Bolanos,1900-01-01,1660,92163,2010-10-01,1330.0,1330.0,122
Elda Owusu,1900-01-01,640,92147,2011-07-01,1056.0,1056.0,122
Sonja Folks,1970-06-13,2158,92163,2010-12-01,1415.0,1415.0,52
Houston Pretty,1900-01-01,955,92128,2012-03-01,1936.0,1936.0,122
Kizzy Finkbeiner,1967-11-22,1271,92176,2012-01-01,1369.0,1369.0,55
Chante Mowery,1900-01-01,361,92129,2010-09-01,1555.0,1555.0,122
Paulina Clouser,1900-01-01,1868,92198,2010-09-01,1095.0,1095.0,122
Lala Vaca,1995-04-02,1311,92150,2010-12-01,1672.0,1672.0,27
Jeana Pace,1969-04-05,1076,92191,2010-12-04,1429.0,1429.0,53
Nichol Yocum,1995-12-09,1787,92132,2011-09-01,1421.0,1421.0,27
Larita Crary,1993-01-08,1325,92110,2010-08-01,764.0,764.0,29
Tyisha Lauritsen,2016-08-17,2341,92194,2011-09-02,1378.0,1378.0,6
Tara Wedding,1900-01-01,2225,92190,2011-09-01,1390.0,1390.0,122
Drema Carlo,1900-01-01,613,92108,2012-04-01,1841.0,1841.0,122
Kirk Ricard,1973-12-11,1260,92153,2011-03-01,-262.5,1750.0,49
Luisa Geibel,1982-09-27,1484,92130,2010-03-01,1132.0,1132.0,40
Ciera Riss,1900-01-01,400,92150,2011-08-01,1500.0,1500.0,122
Wally Lavoie,1971-02-06,2401,92115,2012-03-01,1693.0,1693.0,51
Leigh Culton,1987-08-09,1374,92140,2012-07-01,2005.0,2005.0,35
Brynn Portis,1900-01-01,258,92109,2010-11-04,1329.0,1329.0,122
Deonna Wildes,1900-01-01,565,92140,2010-04-01,1474.0,1474.0,122
Armando Bilger,1900-01-01,148,92164,2010-04-10,0.0,1854.0,122
Dona Warnock,1900-01-01,596,92166,2011-10-01,917.0,917.0,122
Eunice Malik,1900-01-01,741,92153,2011-04-01,1274.0,1274.0,122
Jule Lemmond,1971-03-25,1167,92138,2011-01-05,1391.0,1391.0,51
Meghann Moorman,1981-11-01,1651,92119,2011-05-02,855.0,855.0,41
Kamala Harrison,1900-01-01,1187,92128,2012-01-01,1358.0,1358.0,122
Jeanelle Westby,1900-01-01,1078,92171,2012-03-01,1900.0,1900.0,122
Callie Kulinski,1900-01-01,275,92104,2010-10-01,1770.0,1770.0,122
Ouida Vanzile,1900-01-01,1852,92142,2010-11-01,1399.0,1399.0,122
Burton Hyden,1972-04-28,268,92132,2010-03-02,779.0,779.0,50
Carline Restrepo,1963-01-06,302,92176,2012-08-04,1322.0,1322.0,59
Natosha Mccafferty,1998-11-22,1769,92140,2010-02-01,1374.0,1374.0,24
Madeline Arp,1900-01-01,1514,92182,2012-05-16,1643.0,1494.0,122
Miki Harnage,1900-01-01,1698,92129,2012-09-01,1460.0,1460.0,122
Janna Lautenschlage,1900-01-01,1047,92190,2010-10-01,1138.0,1138.0,122
Estefana Eccleston,1981-03-04,719,92124,2012-01-01,1837.0,1837.0,41
Sharolyn Martines,1900-01-01,2089,92116,2012-08-06,1834.0,1834.0,122
Margarete Gallivan,1989-04-16,1558,92138,2011-04-05,1489.0,1489.0,33
Mack Cheesman,1900-01-01,1506,92195,2011-07-01,906.0,906.0,122
Vernetta Hennessy,1900-01-01,2369,92126,2012-03-01,1592.0,1592.0,122
Darcel Stagner,1900-01-01,504,92190,2010-04-01,1665.0,1665.0,122
Kirstie Wilcoxen,1900-01-01,1263,92199,2012-05-01,2226.0,2226.0,122
Fawn Sage,1979-10-17,756,92103,2011-11-16,1973.0,1794.0,43
Barry Heatley,1900-01-01,179,92177,2011-07-01,-257.7,1718.0,122
Letisha Bishop,1900-01-01,1407,92145,2011-05-01,1305.0,1305.0,122
Nicolas Ripley,1900-01-01,1792,92138,2010-12-01,1555.0,1555.0,122
Sabina Auston,1900-01-01,2023,92162,2010-05-01,1947.0,1947.0,122
Ricardo Salvato,1939-08-06,1945,92191,2012-08-02,2091.0,2091.0,83
Aurora Mccarley,1970-09-02,168,92154,2012-09-01,1531.0,1531.0,52
Anamaria Hamernik,1960-10-09,88,92102,2012-09-02,1282.0,1282.0,62
Callie Kulinski,1900-01-01,275,92104,2011-01-01,1770.0,1770.0,122
Jordon Shadley,1900-01-01,1146,92139,2010-07-01,1550.0,1550.0,122
Newton Zamarripa,2001-06-08,1778,92155,2011-05-01,1353.0,1353.0,21
Blanche Straka,1978-02-07,222,92115,2010-08-01,1728.0,1728.0,44
Rufus Puryear,1900-01-01,2009,92142,2012-08-01,1833.0,1833.0,122
Kasi Kilgo,1900-01-01,1209,92132,2012-04-01,1539.0,1539.0,122
Octavia Robins,1973-05-02,1825,92165,2010-11-01,1644.0,1644.0,49
Harlan Colletti,1973-04-22,909,92105,2012-05-01,-154.95,1033.0,49
Christi Schantz,1900-01-01,396,92120,2011-10-09,1689.0,1536.0,122
Gianna Propp,1900-01-01,845,92130,2010-12-01,1227.0,1227.0,122
Jeffie Helzer,1900-01-01,1084,92152,2010-08-01,1904.0,1904.0,122
Sherly Mccutchen,1900-01-01,2121,92179,2010-04-02,1413.0,1413.0,122
Jazmine Rudisill,1972-09-21,1074,92105,2012-02-09,2091.0,1901.0,50
Sharonda Mackson,1987-11-11,2091,92132,2011-09-04,1488.0,1488.0,35
Thea Gettings,1900-01-01,2259,92142,2012-09-02,1574.0,1574.0,122
Ashlea Pietz,1980-09-07,155,92119,2012-02-01,1925.0,1925.0,42
Azalee Lao,1992-05-26,174,92171,2010-07-01,1928.0,1928.0,30
Gigi Cyr,1900-01-01,848,92184,2012-09-01,1355.0,1355.0,122
Krystyna Vansant,1969-03-26,1288,92171,2012-05-02,1861.0,1861.0,53
Kittie Benoit,1966-10-21,1269,92113,2012-01-01,1378.0,1378.0,56
Josefine Engelhard,1993-12-19,1148,92174,2011-03-10,1471.0,1338.0,29
Dann Kerwin,1966-02-22,492,92140,2011-02-13,1915.0,1741.0,56
Mathilda Betterton,1900-01-01,1639,92174,2010-09-01,1323.0,1323.0,122
Latia Highfield,2012-02-19,1341,92117,2012-09-01,1482.0,1482.0,10
Ignacio Piel,1951-06-27,968,92119,2010-07-01,1587.0,1587.0,71
Evonne Waltz,1996-10-11,750,92123,2011-10-01,1752.0,1752.0,26
Birgit Strackbein,1900-01-01,214,92194,2010-10-01,1662.0,1662.0,122
Bobbi Guerette,1984-11-04,225,92129,2010-08-27,2278.0,1981.0,38
Tommy Rendell,1992-02-11,2292,92159,2011-08-02,1481.0,1481.0,30
Latarsha Gleaves,1989-06-21,1337,92120,2011-05-01,1677.0,1677.0,33
Daniela Cairns,1900-01-01,483,92169,2010-10-01,1201.0,1201.0,122
Raelene Freitas,1900-01-01,1906,92129,2011-02-06,1827.0,1827.0,122
Ying Garrow,1972-11-02,2454,92164,2010-08-01,1319.0,1319.0,50
Milton Kimmer,1900-01-01,1705,92119,2012-02-11,1579.0,1436.0,122
Annabel Rolph,1969-07-04,108,92147,2011-02-01,1434.0,1434.0,53
Nydia Telesco,1900-01-01,1823,92109,2010-08-02,1837.0,1470.0,122
Gerry Hitchman,1900-01-01,841,92108,2010-02-01,1874.0,1874.0,122
Loreta Goza,1900-01-01,1450,92142,2010-08-03,1330.0,1330.0,122
Fran Cardinal,1951-11-26,793,92106,2010-06-04,1504.0,1504.0,71
Giuseppe Rodriquez,1985-04-06,862,92124,2011-07-09,2285.0,2078.0,37
Mike Nowlen,1900-01-01,1697,92162,2010-09-01,1371.0,1371.0,122
Alton Barber,1987-06-03,67,92193,2010-07-01,1465.0,1465.0,35
Jaymie Eutsey,1977-09-15,1067,92108,2011-06-01,2188.0,2188.0,45
Debera Strite,1900-01-01,533,92182,2011-06-06,1451.0,1451.0,122
Tonette Rye,1959-08-25,2297,92197,2011-05-01,1514.0,1514.0,63
Anamaria Hamernik,1960-10-09,88,92102,2010-02-11,1410.0,1282.0,62
Marvella Westling,1900-01-01,1624,92193,2011-03-01,1429.0,1429.0,122
Jacqueline Lee,1976-11-09,1006,92112,2011-03-01,1238.0,1238.0,46
Colene Goff,1950-08-14,437,92163,2011-07-08,1843.0,1843.0,72
Giuseppe Hellmann,1900-01-01,861,92116,2012-07-01,658.0,658.0,122
Beryl Frison,1966-06-26,201,92117,2010-12-01,1521.0,1521.0,56
Forrest Sunderman,1981-03-14,791,92154,2011-06-01,1259.0,1259.0,41
Marlene Steenbergen,1974-03-25,1606,92166,2011-03-01,1609.0,1609.0,48
Octavia Robins,1973-05-02,1825,92165,2012-03-01,1644.0,1644.0,49
Glenda Mcnair,1900-01-01,868,92154,2010-11-01,1967.0,1967.0,122
Giuseppe Rodriquez,1985-04-06,862,92124,2012-02-15,2285.0,2078.0,37
Han Atchison,1900-01-01,905,92191,2010-08-01,1638.0,1638.0,122
Willard Dutremble,1979-08-14,2425,92195,2010-02-03,1168.0,1168.0,43
Ahmad Eagles,1900-01-01,22,92190,2010-09-01,2038.0,2038.0,122
Catherin Parisien,1971-04-23,338,92114,2010-08-01,1382.0,1382.0,51
Margurite Talley,1900-01-01,1573,92170,2011-10-06,1501.0,1501.0,122
Jarod Topping,1900-01-01,1054,92138,2010-09-01,1342.0,1342.0,122
Kirsten Krizan,1997-10-28,1262,92195,2011-04-01,941.0,941.0,25
Abraham Maggi,1900-01-01,5,92160,2011-05-05,1269.0,1269.0,122
Irina Situ,1962-08-10,979,92197,2010-04-07,2158.0,2158.0,60
Sanjuanita Go,2004-07-03,2046,92198,2010-07-01,1893.0,1893.0,18
Raymundo Varn,1968-10-20,1921,92198,2012-03-05,1236.0,1236.0,54
Matha Barkan,1983-06-19,1638,92107,2012-01-01,1784.0,1784.0,39
Vergie Lehto,1996-11-08,2366,92193,2010-03-06,1945.0,1945.0,26
Nieves Mercier,1900-01-01,1796,92164,2012-07-01,1486.0,1486.0,122
Dong Vong,1900-01-01,597,92132,2012-04-01,1383.0,1383.0,122
Devin Roden,1900-01-01,573,92145,2011-03-02,1352.0,1352.0,122
Karmen Kuhlman,1900-01-01,1197,92176,2010-03-04,-222.6,1484.0,122
Kendra Brumit,1900-01-01,1240,92114,2010-09-02,1815.0,1815.0,122
Beata Bevans,2023-09-18,184,92107,2010-10-15,1254.0,1140.0,-1
Alaina Stutzman,1987-09-14,29,92191,2010-10-01,1232.0,1232.0,35
Alberta Paugh,1900-01-01,33,92160,2012-09-01,1294.0,1294.0,122
Merri Trees,1989-08-18,1677,92135,2012-05-01,1456.0,1456.0,33
Weldon Strunk,1900-01-01,2416,92159,2011-06-01,1436.0,1436.0,122
Jolanda Dambrosio,2000-07-28,1139,92109,2010-06-01,1796.0,1796.0,22
Cory Savage,1984-08-18,454,92117,2012-02-01,1750.0,1750.0,38
Margery Singleterry,1900-01-01,1570,92167,2011-06-02,1288.0,1288.0,122
Nichole Nethery,1900-01-01,1786,92123,2011-11-07,1525.0,1220.0,122
Matilda Stoltz,1985-05-28,1642,92126,2010-04-01,1434.0,1434.0,37
Gisele Parlin,1957-02-09,855,92182,2011-10-01,1002.0,1002.0,65
Fernando Bordelon,1987-11-27,768,92105,2011-07-01,1720.0,1720.0,35
Kristeen Mehler,1900-01-01,1281,92171,2012-04-01,1754.0,1754.0,122
Matilda Stoltz,1985-05-28,1642,92126,2012-02-01,1434.0,1434.0,37
Remona Brobst,1900-01-01,1932,92184,2011-10-13,1584.0,1440.0,122
Alethia Klick,1968-04-06,41,92120,2010-09-02,1187.0,1187.0,54
Lilia Manahan,1968-03-09,1417,92192,2011-01-01,1398.0,1398.0,54
Tricia Kennan,1900-01-01,2325,92101,2011-03-07,1658.0,1658.0,122
Brett Minard,1900-01-01,244,92124,2010-09-01,1935.0,1935.0,122
Nga Drumm,1961-09-18,1779,92117,2010-11-01,1542.0,1542.0,61
Felicia Quesnel,1975-07-12,762,92162,2011-05-01,1781.0,1781.0,47
Clay Almeida,1900-01-01,418,92123,2011-04-01,1659.0,1659.0,122
Jade Martensen,1900-01-01,1012,92194,2011-06-01,1657.0,1657.0,122
Brain Cassity,1986-06-22,236,92101,2011-05-01,1408.0,1408.0,36
Giuseppina Payeur,1998-03-03,864,92177,2011-12-01,1796.0,1796.0,24
Ramiro Arispe,1900-01-01,1909,92132,2011-03-01,1553.0,1553.0,122
Yuonne Harpster,1900-01-01,2463,92198,2010-09-01,1726.0,1726.0,122
Tonie Hossain,1900-01-01,2301,92187,2012-04-01,1770.0,1770.0,122
Chara Mahlum,1900-01-01,362,92197,2010-10-01,1041.0,1041.0,122
Marielle Pinnix,1988-10-16,1584,92199,2010-06-02,1356.0,1356.0,34
Leonila Solorzano,1900-01-01,1398,92134,2010-03-01,1940.0,1940.0,122
Alfred Virgen,1987-01-19,49,92159,2011-10-01,1889.0,1889.0,35
Reita Hamid,1941-12-26,1931,92195,2011-05-01,1642.0,1642.0,81
Maryland Heyne,1978-03-06,1632,92170,2011-06-01,1003.0,1003.0,44
Shawn Laraway,1900-01-01,2104,92115,2010-02-01,1140.0,1140.0,122
Brande Buttner,1983-07-10,238,92134,2011-03-03,1443.0,1443.0,39
Marita Iannuzzi,1900-01-01,1600,92124,2011-11-02,1713.0,1713.0,122
Cecily Straka,1956-05-07,346,92177,2010-03-01,2031.0,2031.0,66
Brice Mahaney,1984-04-20,245,92171,2012-07-01,1626.0,1626.0,38
Kyoko Khalil,1900-01-01,1300,92164,2010-05-01,1503.0,1503.0,122
Nobuko Rodda,2011-11-10,1804,92137,2012-01-01,1267.0,1267.0,11
Chana Santamaria,1947-07-04,356,92167,2011-07-01,1192.0,1192.0,75
Reynalda Lebron,1900-01-01,1942,92176,2012-08-01,0.0,1844.0,122
Skye Garris,1900-01-01,2149,92140,2010-11-03,1422.0,1422.0,122
Forest Kates,1977-05-21,790,92163,2010-06-05,1644.0,1644.0,45
Alfred Virgen,1987-01-19,49,92159,2010-07-01,1889.0,1889.0,35
Krystin Swing,1900-01-01,1287,92131,2011-08-01,1730.0,1730.0,122
Mistie Kersh,1900-01-01,1717,92115,2010-11-06,1684.0,1684.0,122
Denny Paschall,1900-01-01,561,92130,2012-02-01,1077.0,1077.0,122
Yuonne Harpster,1900-01-01,2463,92198,2012-02-01,1726.0,1726.0,122
Adrian Moe,1947-09-23,15,92184,2010-03-02,1363.0,1363.0,75
Taneka Noto,1992-05-09,2216,92110,2012-05-01,988.0,988.0,30
Fermin Nunley,1986-01-10,766,92145,2010-03-01,1726.0,1726.0,36
Tommy Rendell,1992-02-11,2292,92159,2012-02-01,1481.0,1481.0,30
Kesha Cesar,1900-01-01,1246,92159,2012-02-04,0.0,1063.0,122
Paulette Currence,1900-01-01,1867,92176,2010-03-01,1492.0,1492.0,122
Chau Dunkle,1900-01-01,373,92163,2010-11-01,1884.0,1884.0,122
Jackson Noland,2007-07-11,1003,92150,2011-01-01,1478.0,1478.0,15
Shawn Britten,1900-01-01,2095,92111,2010-02-01,1779.0,1779.0,122
Tawanna Porath,1900-01-01,2229,92113,2011-10-01,1646.0,1646.0,122
Malorie Bartsch,1970-07-26,1545,92111,2011-11-01,1402.0,1402.0,52
Ida Mawson,1981-01-28,966,92194,2010-06-10,1072.0,975.0,41
Peter Hurley,1980-12-04,1885,92165,2012-02-01,1133.0,1133.0,42
Grady Wilds,1900-01-01,875,92107,2010-04-01,1460.0,1460.0,122
Gigi Cyr,1900-01-01,848,92184,2011-12-02,1355.0,1355.0,122
Beverley Lister,1980-09-17,210,92168,2010-05-01,1149.0,1149.0,42
Tamera Guarnieri,1983-06-08,2205,92198,2011-08-15,2182.0,1984.0,39
Dalila Mccalla,1900-01-01,471,92186,2012-06-25,1411.0,1227.0,122
Marci Rivera,1990-07-21,1554,92171,2011-07-01,1560.0,1560.0,32
Cara Talty,1900-01-01,292,92134,2010-02-03,1186.0,1186.0,122
Gussie Cornette,1963-03-04,891,92139,2012-03-01,1971.0,1971.0,59
Forrest Sunderman,1981-03-14,791,92154,2012-02-01,1259.0,1259.0,41
Timmy Fulford,1975-06-20,2278,92104,2012-08-15,1640.0,1491.0,47
Jasmine Caines,1900-01-01,1058,92170,2012-07-01,1451.0,1451.0,122
Tracey Selke,1998-04-05,2316,92175,2010-09-01,1555.0,1555.0,24
Xavier Mennella,1900-01-01,2439,92119,2012-08-01,1327.0,1327.0,122
Erich Corr,1900-01-01,708,92121,2011-06-01,1367.0,1367.0,122
Lee Rumsey,1967-03-24,1369,92177,2010-11-01,1305.0,1305.0,55
Rufus Repka,1900-01-01,2010,92147,2011-05-05,1728.0,1728.0,122
Luisa Boyle,1900-01-01,1483,92112,2012-01-01,1032.0,1032.0,122
Alfred Fitzsimons,2000-02-15,47,92184,2011-02-01,1650.0,1650.0,22
Armando Bilger,1900-01-01,149,92121,2012-04-06,1616.0,1616.0,122
Ross Latson,1900-01-01,1995,92142,2010-08-11,1414.0,1286.0,122
Fawn Sage,1979-10-17,756,92103,2012-05-19,2063.0,1794.0,43
Dreama Henline,1960-11-03,610,92192,2010-09-14,1228.0,1117.0,62
Lora Moyes,1988-01-11,1446,92104,2010-11-01,1906.0,1906.0,34
Mira Guidry,1900-01-01,1709,92176,2010-12-01,1906.0,1906.0,122
Norman Easterwood,1900-01-01,1818,92115,2010-06-01,1777.0,1777.0,122
Lynsey Juhl,2011-07-07,1501,92166,2010-10-01,1233.0,1233.0,11
Dahlia Pedrick,1900-01-01,466,92196,2010-06-01,1475.0,1475.0,122
Iva Bizzell,1964-08-03,990,92154,2010-11-01,1306.0,1306.0,58
Matilda Stoltz,1985-05-28,1642,92126,2011-08-01,1434.0,1434.0,37
Alma Balboa,1992-03-27,62,92186,2011-07-01,1041.0,1041.0,30
Nan Kueter,1963-01-28,1753,92112,2010-08-01,1415.0,1415.0,59
Alleen Credle,1973-02-11,58,92123,2010-12-01,1892.0,1892.0,49
Jodie Dildine,1900-01-01,1122,92177,2011-11-01,1398.0,1398.0,122
Chana Santamaria,1947-07-04,356,92167,2011-09-01,-178.8,1192.0,75
Mayola Spier,1900-01-01,1647,92165,2010-12-01,1368.0,1368.0,122
Jamal Parman,1971-12-02,1020,92187,2010-03-01,1443.0,1443.0,51
Frank Correll,1982-05-23,796,92137,2011-12-01,968.0,968.0,40
Raymundo Varn,1968-10-20,1921,92198,2012-08-07,1236.0,1236.0,54
Sparkle Manus,1900-01-01,2165,92115,2010-03-20,1511.0,1314.0,122
Ettie Bushong,1900-01-01,727,92111,2012-08-01,1280.0,1280.0,122
Karry Cesare,1981-10-24,1202,92133,2011-08-01,1432.0,1432.0,41
Kaylee Harder,1900-01-01,1224,92195,2010-05-01,1462.0,1462.0,122
Beata Bevans,2023-09-18,184,92107,2011-10-15,1425.0,1140.0,-1
Maisha Furniss,1900-01-01,1536,92130,2010-06-01,1688.0,1688.0,122
Caitlyn Kulesza,1987-11-26,270,92165,2010-08-01,1448.0,1448.0,35
Sylvester Grief,1900-01-01,2195,92184,2010-09-01,1751.0,1751.0,122
Deanne Schisler,1955-12-10,529,92164,2011-07-04,1441.0,1441.0,67
Sherell Burnley,1900-01-01,2116,92119,2011-09-02,985.0,985.0,122
Cayla Butters,1974-12-23,342,92179,2010-10-02,1801.0,1801.0,48
Ellsworth Maclennan,1900-01-01,667,92145,2011-10-01,924.0,924.0,122
Ward Ealy,1957-07-06,2410,92147,2010-04-01,1618.0,1618.0,65
Herlinda Denk,1973-03-28,934,92131,2012-04-01,1864.0,1864.0,49
Candace Yau,1988-03-27,283,92111,2011-11-01,1594.0,1594.0,34
Noel Lupien,1900-01-01,1806,92199,2011-06-01,753.0,753.0,122
Jenelle Hardin,1988-05-05,1090,92192,2010-06-13,1158.0,1053.0,34
Evelyne Griffith,1900-01-01,746,92164,2011-08-10,1968.0,1575.0,122
Bethel Kelson,1900-01-01,203,92114,2012-05-01,1206.0,1206.0,122
Angelic Fillmore,1900-01-01,94,92147,2011-08-04,947.0,947.0,122
Dominic Gullett,1988-12-03,591,92103,2012-01-01,1451.0,1451.0,34
Chana Santamaria,1947-07-04,356,92167,2012-01-01,1192.0,1192.0,75
Bruce Johns,1988-01-24,250,92133,2012-02-07,1436.0,1436.0,34
Tawanna Porath,1900-01-01,2229,92113,2011-07-01,1646.0,1646.0,122
Joselyn Mani,1949-08-11,1152,92192,2010-07-06,1668.0,1668.0,73
Jillian Xu,1981-11-19,1115,92177,2012-01-06,1320.0,1320.0,41
Sabrina Fleischman,1900-01-01,2025,92112,2012-06-05,1706.0,1706.0,122
Sarah Hewes,1949-04-06,2053,92165,2011-07-01,1323.0,1323.0,73
Britni Friel,1981-03-17,247,92195,2012-01-03,1370.0,1370.0,41
Wai Legge,1900-01-01,2399,92165,2010-11-01,2115.0,2115.0,122
Patti Mauch,1900-01-01,1865,92117,2012-05-01,1455.0,1455.0,122
Kylee Padillo,2016-10-06,1296,92111,2011-09-08,1833.0,1467.0,6
Ken Litchfield,1981-07-24,1243,92134,2011-03-05,1859.0,1859.0,41
Christi Schantz,1900-01-01,396,92120,2010-03-22,1766.0,1536.0,122
Flossie Wilber,1900-01-01,789,92112,2010-06-01,2114.0,2114.0,122
Leland Bernardino,1900-01-01,1380,92184,2010-06-01,1823.0,1823.0,122
Ignacio Piel,1951-06-27,968,92119,2010-09-01,1587.0,1587.0,71
Chastity Dowell,1991-03-20,372,92172,2012-05-01,1484.0,1484.0,31
Tianna Greenwell,1983-01-14,2273,92190,2011-11-01,1597.0,1597.0,39
Nikki Wygant,1900-01-01,1799,92166,2010-07-01,1640.0,1640.0,122
Fe Leader,1900-01-01,758,92195,2010-09-01,1414.0,1414.0,122
Rodger You,1900-01-01,1957,92164,2012-03-01,1401.0,1401.0,122
Johana Ozment,2013-03-02,1128,92129,2010-11-01,1480.0,1480.0,9
Dara Ottman,1900-01-01,498,92164,2011-09-20,2165.0,1883.0,122
Cleotilde Carty,1900-01-01,423,92123,2011-12-01,1744.0,1744.0,122
Bobbie Glanton,1900-01-01,224,92177,2011-11-03,1462.0,1462.0,122
Eugene Cree,1977-04-20,734,92107,2010-02-01,2061.0,2061.0,45
