name,dob,houseID,houseZip,paymentDate,paymentAmount,rentAmount,age,city,county,lat,lng,housingUnits,occupiedHousingUnits,medianIncome,population,state,status
Michaele Bachelor,1900-01-01,1684,92114,1,989.0,989.0,122,San Diego,San Diego County,32.71,-117.05,17930.0,17147.0,56310.0,65433.0,CA,low risk
Ngan Wickline,1900-01-01,1780,92113,1,1822.0,1822.0,122,San Diego,San Diego County,32.69,-117.12,13196.0,12315.0,27675.0,56066.0,CA,low risk
Carie Croston,1900-01-01,297,92111,1,1459.0,1459.0,122,San Diego,San Diego County,32.82,-117.15,17268.0,16498.0,57350.0,45096.0,CA,low risk
Nakia Vickery,1981-09-04,1748,92109,1,933.0,933.0,41,San Diego,San Diego County,32.8,-117.24,26216.0,23349.0,64478.0,45787.0,CA,low risk
Kimbra Sorenson,1900-01-01,1258,92107,1,1721.0,1721.0,122,San Diego,San Diego County,32.74,-117.24,14493.0,13601.0,60929.0,28651.0,CA,low risk
Alayna Alger,1973-06-23,30,92116,1,985.0,985.0,49,San Diego,San Diego County,32.76,-117.13,17122.0,16138.0,53448.0,31680.0,CA,low risk
Eleni Loudin,1900-01-01,647,92111,1,1494.0,1494.0,122,San Diego,San Diego County,32.82,-117.15,17268.0,16498.0,57350.0,45096.0,CA,low risk
Mistie Kersh,1900-01-01,1717,92115,1,1684.0,1684.0,122,San Diego,San Diego County,32.76,-117.07,22754.0,21251.0,41866.0,58560.0,CA,low risk
Roosevelt Plump,1982-04-13,1969,92116,1,1563.0,1563.0,40,San Diego,San Diego County,32.76,-117.13,17122.0,16138.0,53448.0,31680.0,CA,low risk
Tressie Carruth,1988-09-09,2324,92129,1,956.0,956.0,34,San Diego,San Diego County,32.96,-117.13,17439.0,17009.0,107870.0,51536.0,CA,low risk
Justine Wu,1900-01-01,1177,92107,1,1580.0,1580.0,122,San Diego,San Diego County,32.74,-117.24,14493.0,13601.0,60929.0,28651.0,CA,low risk
Damien Rathbun,1900-01-01,474,92103,1,1580.0,1580.0,122,San Diego,San Diego County,32.75,-117.17,19080.0,17827.0,62092.0,31066.0,CA,low risk
Vita Lizaola,1976-10-21,2391,92105,1,1125.0,1125.0,46,San Diego,San Diego County,32.74,-117.09,21744.0,20540.0,37534.0,69813.0,CA,low risk
Emilie Fairley,1993-11-18,693,92108,1,1677.0,1677.0,29,San Diego,San Diego County,32.77,-117.15,11601.0,10463.0,63098.0,18858.0,CA,low risk
Cinda Minor,1900-01-01,402,92122,1,1361.0,1361.0,122,San Diego,San Diego County,32.86,-117.2,21058.0,19725.0,65871.0,43728.0,CA,low risk
Lucila Fender,1900-01-01,1471,92139,1,1374.0,1374.0,122,San Diego,San Diego County,32.68,-117.05,10629.0,10216.0,58079.0,35125.0,CA,low risk
Anisha Abelson,1993-05-05,105,92126,1,1185.0,1185.0,29,San Diego,San Diego County,32.91,-117.14,23820.0,22978.0,81505.0,73343.0,CA,low risk
Anika Fetzer,1900-01-01,102,92131,1,1825.0,1825.0,122,San Diego,San Diego County,32.89,-117.05,11832.0,11574.0,124099.0,32787.0,CA,low risk
Audry Talarico,1962-07-09,161,92116,1,1195.0,1195.0,60,San Diego,San Diego County,32.76,-117.13,17122.0,16138.0,53448.0,31680.0,CA,low risk
Giuseppe Rodriquez,1985-04-06,862,92124,1,2078.0,2078.0,37,San Diego,San Diego County,32.82,-117.07,11445.0,11038.0,80463.0,30443.0,CA,low risk
Lyman Deer,1970-03-11,1492,92128,1,1616.0,1616.0,52,San Diego,San Diego County,33.0,-117.07,21265.0,20263.0,92531.0,47490.0,CA,low risk
An Jain,1900-01-01,106,92145,1,1587.0,1587.0,122,San Diego,San Diego County,32.87,-117.14,407.0,390.0,226875.0,1449.0,CA,low risk
Yessenia Willson,1996-10-09,2451,92121,1,1321.0,1321.0,26,San Diego,San Diego County,32.9,-117.21,1752.0,1677.0,104063.0,4179.0,CA,low risk
Sherman Westberry,1981-09-05,2122,92123,1,2062.0,2062.0,41,San Diego,San Diego County,32.81,-117.14,10760.0,10039.0,71412.0,26823.0,CA,low risk
Charleen Bost,1900-01-01,369,92116,1,615.0,615.0,122,San Diego,San Diego County,32.76,-117.13,17122.0,16138.0,53448.0,31680.0,CA,low risk
Erminia Bittinger,1900-01-01,712,92117,1,1720.0,1720.0,122,San Diego,San Diego County,32.81,-117.2,21466.0,20658.0,64026.0,51332.0,CA,low risk
Janita Noss,1975-03-17,1046,92154,1,1343.0,1343.0,47,San Diego,San Diego County,32.6,-117.0,21206.0,20202.0,57618.0,79708.0,CA,low risk
Olen Pentz,1984-07-14,1836,92122,1,1542.0,1542.0,38,San Diego,San Diego County,32.86,-117.2,21058.0,19725.0,65871.0,43728.0,CA,low risk
Luisa Geibel,1982-09-27,1484,92130,1,1132.0,1132.0,40,San Diego,San Diego County,32.95,-117.2,18272.0,17528.0,127968.0,48940.0,CA,low risk
Michaele Bachelor,1900-01-01,1684,92114,1,989.0,989.0,122,San Diego,San Diego County,32.71,-117.05,17930.0,17147.0,56310.0,65433.0,CA,low risk
Jaquelyn Sheehy,1900-01-01,1051,92127,1,1812.0,1812.0,122,San Diego,San Diego County,33.02,-117.14,13748.0,13019.0,120106.0,39337.0,CA,low risk
Stormy Eggert,1900-01-01,2182,92127,1,1914.0,1914.0,122,San Diego,San Diego County,33.02,-117.14,13748.0,13019.0,120106.0,39337.0,CA,low risk
Nichole Nethery,1900-01-01,1786,92123,1,1220.0,1220.0,122,San Diego,San Diego County,32.81,-117.14,10760.0,10039.0,71412.0,26823.0,CA,low risk
Tawny Lipsey,1984-12-08,2231,92139,1,1356.0,1356.0,38,San Diego,San Diego County,32.68,-117.05,10629.0,10216.0,58079.0,35125.0,CA,low risk
Vita Lizaola,1976-10-21,2391,92105,1,1125.0,1125.0,46,San Diego,San Diego County,32.74,-117.09,21744.0,20540.0,37534.0,69813.0,CA,low risk
Devin Roden,1900-01-01,573,92145,1,1352.0,1352.0,122,San Diego,San Diego County,32.87,-117.14,407.0,390.0,226875.0,1449.0,CA,low risk
Michaele Bachelor,1900-01-01,1684,92114,1,989.0,989.0,122,San Diego,San Diego County,32.71,-117.05,17930.0,17147.0,56310.0,65433.0,CA,low risk
Merle Ranallo,1900-01-01,1671,92139,1,1226.0,1226.0,122,San Diego,San Diego County,32.68,-117.05,10629.0,10216.0,58079.0,35125.0,CA,low risk
Francisca Heth,1973-11-04,795,92115,1,1681.0,1681.0,49,San Diego,San Diego County,32.76,-117.07,22754.0,21251.0,41866.0,58560.0,CA,low risk
Kati Sharif,1900-01-01,1218,92114,1,1858.0,1858.0,122,San Diego,San Diego County,32.71,-117.05,17930.0,17147.0,56310.0,65433.0,CA,low risk
Song Kubat,1900-01-01,2156,92121,1,1892.0,1892.0,122,San Diego,San Diego County,32.9,-117.21,1752.0,1677.0,104063.0,4179.0,CA,low risk
Jerlene Rummel,1900-01-01,1102,92117,1,1234.0,1234.0,122,San Diego,San Diego County,32.81,-117.2,21466.0,20658.0,64026.0,51332.0,CA,low risk
Emma Dunkel,1900-01-01,698,92128,1,1502.0,1502.0,122,San Diego,San Diego County,33.0,-117.07,21265.0,20263.0,92531.0,47490.0,CA,low risk
Paulina Lefort,1970-05-22,1869,92129,1,1324.0,1324.0,52,San Diego,San Diego County,32.96,-117.13,17439.0,17009.0,107870.0,51536.0,CA,low risk
Margarite Sisto,1900-01-01,1567,92101,1,1310.0,1310.0,122,San Diego,San Diego County,32.72,-117.18,25169.0,20599.0,52550.0,37095.0,CA,low risk
Alleen Credle,1973-02-11,58,92123,1,1892.0,1892.0,49,San Diego,San Diego County,32.81,-117.14,10760.0,10039.0,71412.0,26823.0,CA,low risk
Lora Moyes,1988-01-11,1446,92104,1,1906.0,1906.0,34,San Diego,San Diego County,32.74,-117.13,22325.0,21089.0,47947.0,44414.0,CA,low risk
Charity Robbins,1963-03-14,367,92102,1,1787.0,1787.0,59,San Diego,San Diego County,32.72,-117.12,14987.0,13981.0,40557.0,43267.0,CA,low risk
Hye Micek,1976-11-01,963,92123,1,1804.0,1804.0,46,San Diego,San Diego County,32.81,-117.14,10760.0,10039.0,71412.0,26823.0,CA,low risk
Shawnda Damron,1900-01-01,2097,92102,1,1704.0,1704.0,122,San Diego,San Diego County,32.72,-117.12,14987.0,13981.0,40557.0,43267.0,CA,low risk
Norman Easterwood,1900-01-01,1818,92115,1,1777.0,1777.0,122,San Diego,San Diego County,32.76,-117.07,22754.0,21251.0,41866.0,58560.0,CA,low risk
Lanette Preston,1900-01-01,1317,92104,1,1232.0,1232.0,122,San Diego,San Diego County,32.74,-117.13,22325.0,21089.0,47947.0,44414.0,CA,low risk
Eugenia Jaffe,1900-01-01,735,92129,1,1630.0,1630.0,122,San Diego,San Diego County,32.96,-117.13,17439.0,17009.0,107870.0,51536.0,CA,low risk
Spring Ponce,1900-01-01,2166,92110,1,1034.0,1034.0,122,San Diego,San Diego County,32.77,-117.21,11426.0,10630.0,59719.0,25341.0,CA,low risk
Daniela Spinella,1980-11-03,484,92105,1,2315.0,2315.0,42,San Diego,San Diego County,32.74,-117.09,21744.0,20540.0,37534.0,69813.0,CA,low risk
Reta Armistead,1900-01-01,1938,92121,1,1426.0,1426.0,122,San Diego,San Diego County,32.9,-117.21,1752.0,1677.0,104063.0,4179.0,CA,low risk
Eleni Loudin,1900-01-01,647,92111,1,1494.0,1494.0,122,San Diego,San Diego County,32.82,-117.15,17268.0,16498.0,57350.0,45096.0,CA,low risk
Audry Talarico,1962-07-09,161,92116,1,1195.0,1195.0,60,San Diego,San Diego County,32.76,-117.13,17122.0,16138.0,53448.0,31680.0,CA,low risk
Bruna Stearns,2010-11-18,253,92139,1,1362.0,1362.0,12,San Diego,San Diego County,32.68,-117.05,10629.0,10216.0,58079.0,35125.0,CA,low risk
Lloyd Holbert,1900-01-01,1437,92115,1,1810.0,1810.0,122,San Diego,San Diego County,32.76,-117.07,22754.0,21251.0,41866.0,58560.0,CA,low risk
Nanette Burbank,1985-04-13,1752,92106,1,1948.0,1948.0,37,San Diego,San Diego County,32.73,-117.23,8322.0,7807.0,82075.0,19330.0,CA,low risk
Christian Arredondo,1971-09-15,394,92121,1,1231.0,1231.0,51,San Diego,San Diego County,32.9,-117.21,1752.0,1677.0,104063.0,4179.0,CA,low risk
Gilda Hamilton,2001-11-04,851,92145,1,1636.0,1636.0,21,San Diego,San Diego County,32.87,-117.14,407.0,390.0,226875.0,1449.0,CA,low risk
Beverlee Vail,1955-09-17,209,92154,1,1754.0,1754.0,67,San Diego,San Diego County,32.6,-117.0,21206.0,20202.0,57618.0,79708.0,CA,low risk
Maryland Ashmore,1900-01-01,1630,92131,1,1957.0,1957.0,122,San Diego,San Diego County,32.89,-117.05,11832.0,11574.0,124099.0,32787.0,CA,low risk
Matilda Stoltz,1985-05-28,1642,92126,1,-215.1,1434.0,37,San Diego,San Diego County,32.91,-117.14,23820.0,22978.0,81505.0,73343.0,CA,low risk
Russel Lambson,1900-01-01,2012,92106,1,1605.0,1605.0,122,San Diego,San Diego County,32.73,-117.23,8322.0,7807.0,82075.0,19330.0,CA,low risk
Vernia Coloma,1900-01-01,2370,92105,1,1663.0,1663.0,122,San Diego,San Diego County,32.74,-117.09,21744.0,20540.0,37534.0,69813.0,CA,low risk
Trenton Gunning,1900-01-01,2321,92121,1,2176.0,2176.0,122,San Diego,San Diego County,32.9,-117.21,1752.0,1677.0,104063.0,4179.0,CA,low risk
Sam Ransdell,1968-08-22,2040,92122,1,1438.0,1438.0,54,San Diego,San Diego County,32.86,-117.2,21058.0,19725.0,65871.0,43728.0,CA,low risk
Augustine Oliveros,1993-05-11,162,92120,1,1505.0,1505.0,29,San Diego,San Diego County,32.8,-117.07,11411.0,10971.0,81000.0,26317.0,CA,low risk
Deja Lion,1900-01-01,536,92109,1,2043.0,2043.0,122,San Diego,San Diego County,32.8,-117.24,26216.0,23349.0,64478.0,45787.0,CA,low risk
Eleonore Mccranie,1900-01-01,651,92114,1,1246.0,1246.0,122,San Diego,San Diego County,32.71,-117.05,17930.0,17147.0,56310.0,65433.0,CA,low risk
Dominic Gullett,1988-12-03,591,92103,1,1451.0,1451.0,34,San Diego,San Diego County,32.75,-117.17,19080.0,17827.0,62092.0,31066.0,CA,low risk
Nathalie Tworek,1900-01-01,1763,92102,1,1183.0,1183.0,122,San Diego,San Diego County,32.72,-117.12,14987.0,13981.0,40557.0,43267.0,CA,low risk
Jen Heitkamp,1900-01-01,1093,92139,1,1803.0,1803.0,122,San Diego,San Diego County,32.68,-117.05,10629.0,10216.0,58079.0,35125.0,CA,low risk
Melaine Wiemann,1992-07-27,1653,92111,1,1334.0,1334.0,30,San Diego,San Diego County,32.82,-117.15,17268.0,16498.0,57350.0,45096.0,CA,low risk
Elva Serfass,1900-01-01,677,92101,1,1267.0,1267.0,122,San Diego,San Diego County,32.72,-117.18,25169.0,20599.0,52550.0,37095.0,CA,low risk
Kati Sharif,1900-01-01,1218,92114,1,1858.0,1858.0,122,San Diego,San Diego County,32.71,-117.05,17930.0,17147.0,56310.0,65433.0,CA,low risk
Kerstin Hypolite,1900-01-01,1245,92110,1,1082.0,1082.0,122,San Diego,San Diego County,32.77,-117.21,11426.0,10630.0,59719.0,25341.0,CA,low risk
Matilda Stoltz,1985-05-28,1642,92126,1,1434.0,1434.0,37,San Diego,San Diego County,32.91,-117.14,23820.0,22978.0,81505.0,73343.0,CA,low risk
Rosetta Sain,1900-01-01,1990,92130,1,1520.0,1520.0,122,San Diego,San Diego County,32.95,-117.2,18272.0,17528.0,127968.0,48940.0,CA,low risk
Ellen Collie,1969-07-04,663,92127,1,1653.0,1653.0,53,San Diego,San Diego County,33.02,-117.14,13748.0,13019.0,120106.0,39337.0,CA,low risk
Earlean Cichon,1900-01-01,619,92104,1,1056.0,1056.0,122,San Diego,San Diego County,32.74,-117.13,22325.0,21089.0,47947.0,44414.0,CA,low risk
Kathi Loggins,1900-01-01,1213,92122,1,942.0,942.0,122,San Diego,San Diego County,32.86,-117.2,21058.0,19725.0,65871.0,43728.0,CA,low risk
Odilia Crossley,1977-01-20,1833,92109,1,1276.0,1276.0,45,San Diego,San Diego County,32.8,-117.24,26216.0,23349.0,64478.0,45787.0,CA,low risk
Tyesha Savell,1983-07-01,2338,92129,1,1845.0,1845.0,39,San Diego,San Diego County,32.96,-117.13,17439.0,17009.0,107870.0,51536.0,CA,low risk
Isela Briley,1900-01-01,987,92113,1,1054.0,1054.0,122,San Diego,San Diego County,32.69,-117.12,13196.0,12315.0,27675.0,56066.0,CA,low risk
Leda Willsey,2003-10-13,1367,92154,1,1367.0,1367.0,19,San Diego,San Diego County,32.6,-117.0,21206.0,20202.0,57618.0,79708.0,CA,low risk
Ha Cornelius,1989-06-16,898,92145,1,959.0,959.0,33,San Diego,San Diego County,32.87,-117.14,407.0,390.0,226875.0,1449.0,CA,low risk
Lashandra Flannagan,1971-06-26,1331,92102,1,1479.0,1479.0,51,San Diego,San Diego County,32.72,-117.12,14987.0,13981.0,40557.0,43267.0,CA,low risk
Chery Sherrill,1988-02-25,386,92123,1,946.0,946.0,34,San Diego,San Diego County,32.81,-117.14,10760.0,10039.0,71412.0,26823.0,CA,low risk
Estefana Eccleston,1981-03-04,719,92124,1,1837.0,1837.0,41,San Diego,San Diego County,32.82,-117.07,11445.0,11038.0,80463.0,30443.0,CA,low risk
Eusebio Seo,2006-12-14,742,92107,1,823.0,823.0,16,San Diego,San Diego County,32.74,-117.24,14493.0,13601.0,60929.0,28651.0,CA,low risk
Janell Huffman,1989-01-09,1032,92109,1,1489.0,1489.0,33,San Diego,San Diego County,32.8,-117.24,26216.0,23349.0,64478.0,45787.0,CA,low risk
Latrisha Suire,1900-01-01,1346,92102,1,1477.0,1477.0,122,San Diego,San Diego County,32.72,-117.12,14987.0,13981.0,40557.0,43267.0,CA,low risk
Kathi Loggins,1900-01-01,1213,92122,1,942.0,942.0,122,San Diego,San Diego County,32.86,-117.2,21058.0,19725.0,65871.0,43728.0,CA,low risk
Melaine Wiemann,1992-07-27,1653,92111,1,1334.0,1334.0,30,San Diego,San Diego County,32.82,-117.15,17268.0,16498.0,57350.0,45096.0,CA,low risk
Molly Kochan,2007-02-02,1724,92139,1,1568.0,1568.0,15,San Diego,San Diego County,32.68,-117.05,10629.0,10216.0,58079.0,35125.0,CA,low risk
Jesenia Vass,1900-01-01,1106,92107,1,1476.0,1476.0,122,San Diego,San Diego County,32.74,-117.24,14493.0,13601.0,60929.0,28651.0,CA,low risk
Reba Byham,1980-10-09,1924,92117,1,1592.0,1592.0,42,San Diego,San Diego County,32.81,-117.2,21466.0,20658.0,64026.0,51332.0,CA,low risk
Gaye Donohue,1900-01-01,817,92124,1,1398.0,1398.0,122,San Diego,San Diego County,32.82,-117.07,11445.0,11038.0,80463.0,30443.0,CA,low risk
Jona Nicholson,1900-01-01,1140,92113,1,1794.0,1794.0,122,San Diego,San Diego County,32.69,-117.12,13196.0,12315.0,27675.0,56066.0,CA,low risk
Joselyn Plattner,1977-02-01,1153,92113,1,1720.0,1720.0,45,San Diego,San Diego County,32.69,-117.12,13196.0,12315.0,27675.0,56066.0,CA,low risk
Sheridan Clogston,1971-08-10,2118,92124,1,893.0,893.0,51,San Diego,San Diego County,32.82,-117.07,11445.0,11038.0,80463.0,30443.0,CA,low risk
Carlo Criner,1900-01-01,303,92127,1,777.0,777.0,122,San Diego,San Diego County,33.02,-117.14,13748.0,13019.0,120106.0,39337.0,CA,low risk
Shawnda Damron,1900-01-01,2097,92102,1,1704.0,1704.0,122,San Diego,San Diego County,32.72,-117.12,14987.0,13981.0,40557.0,43267.0,CA,low risk
Grady Wilds,1900-01-01,875,92107,1,1460.0,1460.0,122,San Diego,San Diego County,32.74,-117.24,14493.0,13601.0,60929.0,28651.0,CA,low risk
Rosalind Reinbold,1900-01-01,1975,92139,1,1322.0,1322.0,122,San Diego,San Diego County,32.68,-117.05,10629.0,10216.0,58079.0,35125.0,CA,low risk
Daphine Ates,1900-01-01,497,92122,1,1811.0,1811.0,122,San Diego,San Diego County,32.86,-117.2,21058.0,19725.0,65871.0,43728.0,CA,low risk
Loretta Hauk,1900-01-01,1451,92108,1,1226.0,1226.0,122,San Diego,San Diego County,32.77,-117.15,11601.0,10463.0,63098.0,18858.0,CA,low risk
Jaymie Eutsey,1977-09-15,1067,92108,1,2188.0,2188.0,45,San Diego,San Diego County,32.77,-117.15,11601.0,10463.0,63098.0,18858.0,CA,low risk
Latricia Bartholow,1969-09-05,1343,92131,1,1464.0,1464.0,53,San Diego,San Diego County,32.89,-117.05,11832.0,11574.0,124099.0,32787.0,CA,low risk
Jolanda Dambrosio,2000-07-28,1139,92109,1,1796.0,1796.0,22,San Diego,San Diego County,32.8,-117.24,26216.0,23349.0,64478.0,45787.0,CA,low risk
Olen Pentz,1984-07-14,1836,92122,1,1542.0,1542.0,38,San Diego,San Diego County,32.86,-117.2,21058.0,19725.0,65871.0,43728.0,CA,low risk
Merle Ranallo,1900-01-01,1671,92139,1,1226.0,1226.0,122,San Diego,San Diego County,32.68,-117.05,10629.0,10216.0,58079.0,35125.0,CA,low risk
Joshua Kubat,1900-01-01,1155,92121,1,1508.0,1508.0,122,San Diego,San Diego County,32.9,-117.21,1752.0,1677.0,104063.0,4179.0,CA,low risk
Damian Moles,1990-12-10,472,92102,1,981.0,981.0,32,San Diego,San Diego County,32.72,-117.12,14987.0,13981.0,40557.0,43267.0,CA,low risk
Linnea Brookshire,1993-08-19,1423,92127,1,1408.0,1408.0,29,San Diego,San Diego County,33.02,-117.14,13748.0,13019.0,120106.0,39337.0,CA,low risk
Sheridan Clogston,1971-08-10,2118,92124,1,893.0,893.0,51,San Diego,San Diego County,32.82,-117.07,11445.0,11038.0,80463.0,30443.0,CA,low risk
September Vesely,1981-12-02,2061,92113,1,2023.0,2023.0,41,San Diego,San Diego County,32.69,-117.12,13196.0,12315.0,27675.0,56066.0,CA,low risk
Raelene Freitas,1900-01-01,1906,92129,1,1827.0,1827.0,122,San Diego,San Diego County,32.96,-117.13,17439.0,17009.0,107870.0,51536.0,CA,low risk
Tyson Delorenzo,1986-12-27,2346,92101,1,1541.0,1541.0,36,San Diego,San Diego County,32.72,-117.18,25169.0,20599.0,52550.0,37095.0,CA,low risk
Maryland Ashmore,1900-01-01,1630,92131,1,1957.0,1957.0,122,San Diego,San Diego County,32.89,-117.05,11832.0,11574.0,124099.0,32787.0,CA,low risk
Eladia Chapin,1900-01-01,637,92116,1,1529.0,1529.0,122,San Diego,San Diego County,32.76,-117.13,17122.0,16138.0,53448.0,31680.0,CA,low risk
Catherin Parisien,1971-04-23,338,92114,1,1382.0,1382.0,51,San Diego,San Diego County,32.71,-117.05,17930.0,17147.0,56310.0,65433.0,CA,low risk
Annabell Roll,1900-01-01,107,92126,1,1526.0,1526.0,122,San Diego,San Diego County,32.91,-117.14,23820.0,22978.0,81505.0,73343.0,CA,low risk
Terrell Vanduzer,1900-01-01,2247,92108,1,1480.0,1480.0,122,San Diego,San Diego County,32.77,-117.15,11601.0,10463.0,63098.0,18858.0,CA,low risk
Hertha Rentas,1900-01-01,938,92126,1,1386.0,1386.0,122,San Diego,San Diego County,32.91,-117.14,23820.0,22978.0,81505.0,73343.0,CA,low risk
Tyisha Lauritsen,2016-08-17,2340,92104,1,1467.0,1467.0,6,San Diego,San Diego County,32.74,-117.13,22325.0,21089.0,47947.0,44414.0,CA,low risk
Nila Mcconico,1962-12-28,1800,92104,1,1567.0,1567.0,60,San Diego,San Diego County,32.74,-117.13,22325.0,21089.0,47947.0,44414.0,CA,low risk
Ardelia Schewe,1900-01-01,129,92121,1,1512.0,1512.0,122,San Diego,San Diego County,32.9,-117.21,1752.0,1677.0,104063.0,4179.0,CA,low risk
Alleen Credle,1973-02-11,58,92123,1,1892.0,1892.0,49,San Diego,San Diego County,32.81,-117.14,10760.0,10039.0,71412.0,26823.0,CA,low risk
Major Alfonso,1900-01-01,1537,92139,1,1716.0,1716.0,122,San Diego,San Diego County,32.68,-117.05,10629.0,10216.0,58079.0,35125.0,CA,low risk
Clifford Hammersley,2008-08-09,429,92114,1,1354.0,1354.0,14,San Diego,San Diego County,32.71,-117.05,17930.0,17147.0,56310.0,65433.0,CA,low risk
Stanley Lair,1953-10-17,2171,92113,1,1023.0,1023.0,69,San Diego,San Diego County,32.69,-117.12,13196.0,12315.0,27675.0,56066.0,CA,low risk
Elenor Kerfoot,1900-01-01,649,92105,1,1493.0,1493.0,122,San Diego,San Diego County,32.74,-117.09,21744.0,20540.0,37534.0,69813.0,CA,low risk
