name,dob,houseID,houseZip,paymentDate,paymentAmount,rentAmount
Rebekah Weatherly,01/01/1900,1928,92138,20111002,943,943
Julieta Weaver,01/01/1900,1174,92179,20100204,1586,1586
Inge Campion,01/01/1900,973,92192,20100501,1828,1828
Jamaal Noon,01/01/1900,1019,92111,20110103,1138,1138
Milda Leick,09/17/1970,1700,92172,20100901,1776,1776
Arcelia Petrick,06/06/1958,125,92142,20110601,1564,1564
Cleta Beachy,01/01/1900,424,92135,20110101,1445,1445
Paulina Lefort,05/22/1970,1869,92129,20100601,1324,1324
Efren Wilk,19391005,634,92193,20110201,2298,2298
Kenyetta Mistretta,05/20/2001,1244,92127,20100701,1489,1489
Vincenza Conant,01/01/1900,2385,92127,20120301,1297,1297
Ethelene Monaco,01/01/1900,724,92109,20110401,1086,1086
Ettie Rozek,04/09/1983,731,92127,20120101,-204.0,1360
Hayden Holford,01/01/1900,922,92138,20100701,2097,2097
Lashandra Flannagan,06/26/1971,1330,92104,20111101,1519,1519
Blanche Bugarin,09/03/1991,220,92142,20101101,1603,1603
Susannah Camilleri,01/01/1900,2189,92109,20120701,1520,1520
Mellisa Bolanos,01/01/1900,1660,92163,10/01/2010,1330,1330
Elda Owusu,01/01/1900,640,92147,20110701,1056,1056
Sonja Folks,06/13/1970,2158,92163,20101201,1415,1415
Houston Pretty,01/01/1900,955,92128,20120301,1936,1936
Kizzy Finkbeiner,11/22/1967,1271,92176,20120101,1369,1369
Chante Mowery,01/01/1900,361,92129,20100901,1555,1555
Paulina Clouser,01/01/1900,1868,92198,20100901,1095,1095
Lala Vaca,04/02/1995,1311,92150,20101201,1672,1672
Jeana Pace,04/05/1969,1076,92191,20101204,1429,1429
Nichol Yocum,12/09/1995,1787,92132,20110901,1421,1421
Larita Crary,01/08/1993,1325,92110,08/01/2010,764,764
Tyisha Lauritsen,08/17/2016,2341,92194,20110902,1378,1378
Tara Wedding,01/01/1900,2225,92190,20110901,1390,1390
Drema Carlo,01/01/1900,613,92108,20120401,1841,1841
Kirk Ricard,12/11/1973,1260,92153,20110301,-262.5,1750
Luisa Geibel,09/27/1982,1484,92130,20100301,1132,1132
Ciera Riss,01/01/1900,400,92150,20110801,1500,1500
Wally Lavoie,02/06/1971,2401,92115,20120301,1693,1693
Leigh Culton,08/09/1987,1374,92140,20120701,2005,2005
Brynn Portis,01/01/1900,258,92109,20101104,1329,1329
Deonna Wildes,01/01/1900,565,92140,20100401,1474,1474
Armando Bilger,01/01/1900,148,92164,20100410,,1854
Dona Warnock,01/01/1900,596,92166,20111001,917,917
Eunice Malik,01/01/1900,741,92153,20110401,1274,1274
Jule Lemmond,03/25/1971,1167,92138,01/05/2011,1391,1391
Meghann Moorman,11/01/1981,1651,92119,20110502,855,855
Kamala Harrison,01/01/1900,1187,92128,20120101,1358,1358
Jeanelle Westby,01/01/1900,1078,92171,20120301,1900,1900
Callie Kulinski,01/01/1900,275,92104,10/01/2010,1770,1770
Ouida Vanzile,01/01/1900,1852,92142,20101101,1399,1399
Burton Hyden,04/28/1972,268,92132,20100302,779,779
Carline Restrepo,01/06/1963,302,92176,20120804,1322,1322
Natosha Mccafferty,11/22/1998,1769,92140,20100201,1374,1374
Madeline Arp,01/01/1900,1514,92182,20120516,1643,1494
Miki Harnage,01/01/1900,1698,92129,20120901,1460,1460
Janna Lautenschlage,01/01/1900,1047,92190,20101001,1138,1138
Estefana Eccleston,03/04/1981,719,92124,20120101,1837,1837
Sharolyn Martines,01/01/1900,2089,92116,08/06/2012,1834,1834
Margarete Gallivan,04/16/1989,1558,92138,20110405,1489,1489
Mack Cheesman,01/01/1900,1506,92195,20110701,906,906
Vernetta Hennessy,01/01/1900,2369,92126,20120301,1592,1592
Darcel Stagner,01/01/1900,504,92190,20100401,1665,1665
Kirstie Wilcoxen,01/01/1900,1263,92199,20120501,2226,2226
Fawn Sage,10/17/1979,756,92103,20111116,1973,1794
Barry Heatley,01/01/1900,179,92177,07/01/2011,-257.7,1718
Letisha Bishop,01/01/1900,1407,92145,20110501,1305,1305
Nicolas Ripley,19000101,1792,92138,20101201,1555,1555
Sabina Auston,19000101,2023,92162,20100501,1947,1947
Ricardo Salvato,19390806,1945,92191,08/02/2012,2091,2091
Aurora Mccarley,09/02/1970,168,92154,20120901,1531,1531
Anamaria Hamernik,19601009,88,92102,20120902,1282,1282
Callie Kulinski,01/01/1900,275,92104,01/01/2011,1770,1770
Jordon Shadley,01/01/1900,1146,92139,20100701,1550,1550
Newton Zamarripa,06/08/2001,1778,92155,20110501,1353,1353
Blanche Straka,19780207,222,92115,20100801,1728,1728
Rufus Puryear,01/01/1900,2009,92142,08/01/2012,1833,1833
Kasi Kilgo,01/01/1900,1209,92132,04/01/2012,1539,1539
Octavia Robins,05/02/1973,1825,92165,20101101,1644,1644
Harlan Colletti,04/22/1973,909,92105,20120501,-154.95,1033
Christi Schantz,01/01/1900,396,92120,20111009,1689,1536
Gianna Propp,01/01/1900,845,92130,20101201,1227,1227
Jeffie Helzer,01/01/1900,1084,92152,08/01/2010,1904,1904
Sherly Mccutchen,01/01/1900,2121,92179,04/02/2010,1413,1413
Jazmine Rudisill,09/21/1972,1074,92105,20120209,2091,1901
Sharonda Mackson,11/11/1987,2091,92132,20110904,1488,1488
Thea Gettings,19000101,2259,92142,20120902,1574,1574
Ashlea Pietz,09/07/1980,155,92119,20120201,1925,1925
Azalee Lao,05/26/1992,174,92171,20100701,1928,1928
Gigi Cyr,01/01/1900,848,92184,20120901,1355,1355
Krystyna Vansant,19690326,1288,92171,20120502,1861,1861
Kittie Benoit,10/21/1966,1269,92113,20120101,1378,1378
Josefine Engelhard,12/19/1993,1148,92174,20110310,1471,1338
Dann Kerwin,02/22/1966,492,92140,20110213,1915,1741
Mathilda Betterton,01/01/1900,1639,92174,09/01/2010,1323,1323
Latia Highfield,02/19/2012,1341,92117,09/01/2012,1482,1482
Ignacio Piel,06/27/1951,968,92119,20100701,1587,1587
Evonne Waltz,10/11/1996,750,92123,20111001,1752,1752
Birgit Strackbein,01/01/1900,214,92194,20101001,1662,1662
Bobbi Guerette,11/04/1984,225,92129,20100827,2278,1981
Tommy Rendell,02/11/1992,2292,92159,20110802,1481,1481
Latarsha Gleaves,06/21/1989,1337,92120,20110501,1677,1677
Daniela Cairns,01/01/1900,483,92169,20101001,1201,1201
Raelene Freitas,01/01/1900,1906,92129,02/06/2011,1827,1827
Ying Garrow,11/02/1972,2454,92164,20100801,1319,1319
Milton Kimmer,01/01/1900,1705,92119,20120211,1579,1436
Annabel Rolph,07/04/1969,108,92147,20110201,1434,1434
Nydia Telesco,01/01/1900,1823,92109,20100802,1837,1470
Gerry Hitchman,01/01/1900,841,92108,20100201,1874,1874
Loreta Goza,01/01/1900,1450,92142,20100803,1330,1330
Fran Cardinal,11/26/1951,793,92106,20100604,1504,1504
Giuseppe Rodriquez,04/06/1985,862,92124,20110709,2285,2078
Mike Nowlen,01/01/1900,1697,92162,20100901,1371,1371
Alton Barber,06/03/1987,67,92193,20100701,1465,1465
Jaymie Eutsey,09/15/1977,1067,92108,20110601,2188,2188
Debera Strite,01/01/1900,533,92182,20110606,1451,1451
Tonette Rye,08/25/1959,2297,92197,20110501,1514,1514
Anamaria Hamernik,19601009,88,92102,20100211,1410,1282
Marvella Westling,01/01/1900,1624,92193,20110301,1429,1429
Jacqueline Lee,11/09/1976,1006,92112,20110301,1238,1238
,Colene Goff,08/14/1950,437,92163,07/08/2011,1843,1843
Giuseppe Hellmann,19000101,861,92116,20120701,658,658
Beryl Frison,06/26/1966,201,92117,20101201,1521,1521
Forrest Sunderman,03/14/1981,791,92154,06/01/2011,1259,1259
Marlene Steenbergen,03/25/1974,1606,92166,20110301,1609,1609
,Octavia Robins,05/02/1973,1825,92165,20120301,1644,1644
Glenda Mcnair,01/01/1900,868,92154,20101101,1967,1967
Giuseppe Rodriquez,04/06/1985,862,92124,20120215,2285,2078
Han Atchison,01/01/1900,905,92191,20100801,1638,1638
Willard Dutremble,08/14/1979,2425,92195,20100203,1168,1168
Ahmad Eagles,19000101,22,92190,20100901,2038,2038
Catherin Parisien,04/23/1971,338,92114,20100801,1382,1382
Margurite Talley,01/01/1900,1573,92170,20111006,1501,1501
Jarod Topping,01/01/1900,1054,92138,20100901,1342,1342
Kirsten Krizan,10/28/1997,1262,92195,20110401,941,941
Abraham Maggi,01/01/1900,5,92160,20110505,1269,1269
Irina Situ,08/10/1962,979,92197,20100407,2158,2158
Sanjuanita Go,07/03/2004,2046,92198,20100701,1893,1893
Raymundo Varn,19681020,1921,92198,20120305,1236,1236
Matha Barkan,06/19/1983,1638,92107,20120101,1784,1784
Vergie Lehto,11/08/1996,2366,92193,20100306,1945,1945
Nieves Mercier,01/01/1900,1796,92164,20120701,1486,1486
Dong Vong,01/01/1900,597,92132,20120401,1383,1383
Devin Roden,19000101,573,92145,20110302,1352,1352
Karmen Kuhlman,01/01/1900,1197,92176,20100304,-222.6,1484
Kendra Brumit,01/01/1900,1240,92114,20100902,1815,1815
Beata Bevans,09/18/2023,184,92107,20101015,1254,1140
Alaina Stutzman,09/14/1987,29,92191,20101001,1232,1232
Alberta Paugh,01/01/1900,33,92160,20120901,1294,1294
Merri Trees,08/18/1989,1677,92135,20120501,1456,1456
Weldon Strunk,01/01/1900,2416,92159,20110601,1436,1436
Jolanda Dambrosio,07/28/2000,1139,92109,20100601,1796,1796
Cory Savage,08/18/1984,454,92117,20120201,1750,1750
Margery Singleterry,01/01/1900,1570,92167,20110602,1288,1288
Nichole Nethery,01/01/1900,1786,92123,20111107,1525,1220
Matilda Stoltz,05/28/1985,1642,92126,20100401,1434,1434
Gisele Parlin,02/09/1957,855,92182,20111001,1002,1002
Fernando Bordelon,11/27/1987,768,92105,20110701,1720,1720
Kristeen Mehler,19000101,1281,92171,20120401,1754,1754
Matilda Stoltz,05/28/1985,1642,92126,20120201,1434,1434
Remona Brobst,19000101,1932,92184,20111013,1584,1440
Alethia Klick,04/06/1968,41,92120,20100902,1187,1187
Lilia Manahan,03/09/1968,1417,92192,20110101,1398,1398
Tricia Kennan,01/01/1900,2325,92101,20110307,1658,1658
Brett Minard,01/01/1900,244,92124,20100901,1935,1935
Nga Drumm,09/18/1961,1779,92117,20101101,1542,1542
Felicia Quesnel,07/12/1975,762,92162,20110501,1781,1781
Clay Almeida,01/01/1900,418,92123,20110401,1659,1659
Jade Martensen,01/01/1900,1012,92194,20110601,1657,1657
,Brain Cassity,06/22/1986,236,92101,20110501,1408,1408
Giuseppina Payeur,03/03/1998,864,92177,20111201,1796,1796
Ramiro Arispe,01/01/1900,1909,92132,20110301,1553,1553
Yuonne Harpster,01/01/1900,2463,92198,20100901,1726,1726
Tonie Hossain,01/01/1900,2301,92187,20120401,1770,1770
Chara Mahlum,01/01/1900,362,92197,20101001,1041,1041
Marielle Pinnix,10/16/1988,1584,92199,20100602,1356,1356
Leonila Solorzano,01/01/1900,1398,92134,20100301,1940,1940
Alfred Virgen,01/19/1987,49,92159,20111001,1889,1889
Reita Hamid,12/26/1941,1931,92195,20110501,1642,1642
,Maryland Heyne,03/06/1978,1632,92170,20110601,1003,1003
Shawn Laraway,01/01/1900,2104,92115,02/01/2010,1140,1140
Brande Buttner,07/10/1983,238,92134,03/03/2011,1443,1443
Marita Iannuzzi,01/01/1900,1600,92124,20111102,1713,1713
Cecily Straka,05/07/1956,346,92177,20100301,2031,2031
Brice Mahaney,04/20/1984,245,92171,20120701,1626,1626
Kyoko Khalil,01/01/1900,1300,92164,05/01/2010,1503,1503
Nobuko Rodda,11/10/2011,1804,92137,20120101,1267,1267
Chana Santamaria,07/04/1947,356,92167,20110701,1192,1192
Reynalda Lebron,19000101,1942,92176,20120801,,1844
Skye Garris,01/01/1900,2149,92140,20101103,1422,1422
Forest Kates,05/21/1977,790,92163,20100605,1644,1644
Alfred Virgen,01/19/1987,49,92159,20100701,1889,1889
Krystin Swing,19000101,1287,92131,08/01/2011,1730,1730
Mistie Kersh,01/01/1900,1717,92115,20101106,1684,1684
Denny Paschall,01/01/1900,561,92130,20120201,1077,1077
Yuonne Harpster,01/01/1900,2463,92198,20120201,1726,1726
,Adrian Moe,09/23/1947,15,92184,20100302,1363,1363
Taneka Noto,05/09/1992,2216,92110,20120501,988,988
Fermin Nunley,01/10/1986,766,92145,20100301,1726,1726
Tommy Rendell,02/11/1992,2292,92159,20120201,1481,1481
Kesha Cesar,01/01/1900,1246,92159,20120204,,1063
Paulette Currence,01/01/1900,1867,92176,20100301,1492,1492
Chau Dunkle,01/01/1900,373,92163,20101101,1884,1884
Jackson Noland,07/11/2007,1003,92150,20110101,1478,1478
Shawn Britten,19000101,2095,92111,20100201,1779,1779
Tawanna Porath,01/01/1900,2229,92113,20111001,1646,1646
Malorie Bartsch,07/26/1970,1545,92111,20111101,1402,1402
Ida Mawson,01/28/1981,966,92194,06/10/2010,1072,975
Peter Hurley,19801204,1885,92165,20120201,1133,1133
Grady Wilds,01/01/1900,875,92107,20100401,1460,1460
Gigi Cyr,01/01/1900,848,92184,20111202,1355,1355
Beverley Lister,09/17/1980,210,92168,20100501,1149,1149
Tamera Guarnieri,06/08/1983,2205,92198,20110815,2182,1984
Dalila Mccalla,01/01/1900,471,92186,20120625,1411,1227
,Marci Rivera,07/21/1990,1554,92171,20110701,1560,1560
Cara Talty,01/01/1900,292,92134,20100203,1186,1186
Gussie Cornette,03/04/1963,891,92139,03/01/2012,1971,1971
Forrest Sunderman,03/14/1981,791,92154,02/01/2012,1259,1259
Timmy Fulford,06/20/1975,2278,92104,20120815,1640,1491
Jasmine Caines,01/01/1900,1058,92170,20120701,1451,1451
Tracey Selke,04/05/1998,2316,92175,20100901,1555,1555
Xavier Mennella,01/01/1900,2439,92119,20120801,1327,1327
Erich Corr,01/01/1900,708,92121,20110601,1367,1367
Lee Rumsey,19670324,1369,92177,11/01/2010,1305,1305
Rufus Repka,01/01/1900,2010,92147,20110505,1728,1728
Luisa Boyle,01/01/1900,1483,92112,20120101,1032,1032
Alfred Fitzsimons,02/15/2000,47,92184,20110201,1650,1650
Armando Bilger,01/01/1900,149,92121,20120406,1616,1616
Ross Latson,01/01/1900,1995,92142,20100811,1414,1286
Fawn Sage,10/17/1979,756,92103,20120519,2063,1794
Dreama Henline,11/03/1960,610,92192,09/14/2010,1228,1117
Lora Moyes,19880111,1446,92104,20101101,1906,1906
Mira Guidry,01/01/1900,1709,92176,20101201,1906,1906
Norman Easterwood,01/01/1900,1818,92115,20100601,1777,1777
Lynsey Juhl,07/07/2011,1501,92166,20101001,1233,1233
Dahlia Pedrick,01/01/1900,466,92196,06/01/2010,1475,1475
Iva Bizzell,08/03/1964,990,92154,11/01/2010,1306,1306
Matilda Stoltz,05/28/1985,1642,92126,20110801,1434,1434
Alma Balboa,03/27/1992,62,92186,20110701,1041,1041
Nan Kueter,01/28/1963,1753,92112,20100801,1415,1415
Alleen Credle,02/11/1973,58,92123,20101201,1892,1892
Jodie Dildine,01/01/1900,1122,92177,20111101,1398,1398
Chana Santamaria,07/04/1947,356,92167,20110901,-178.8,1192
Mayola Spier,19000101,1647,92165,20101201,1368,1368
Jamal Parman,12/02/1971,1020,92187,20100301,1443,1443
Frank Correll,05/23/1982,796,92137,20111201,968,968
Raymundo Varn,19681020,1921,92198,20120807,1236,1236
Sparkle Manus,01/01/1900,2165,92115,20100320,1511,1314
Ettie Bushong,01/01/1900,727,92111,08/01/2012,1280,1280
Karry Cesare,10/24/1981,1202,92133,08/01/2011,1432,1432
Kaylee Harder,01/01/1900,1224,92195,20100501,1462,1462
Beata Bevans,09/18/2023,184,92107,20111015,1425,1140
Maisha Furniss,19000101,1536,92130,06/01/2010,1688,1688
Caitlyn Kulesza,11/26/1987,270,92165,20100801,1448,1448
Sylvester Grief,01/01/1900,2195,92184,20100901,1751,1751
Deanne Schisler,12/10/1955,529,92164,20110704,1441,1441
Sherell Burnley,01/01/1900,2116,92119,20110902,985,985
Cayla Butters,12/23/1974,342,92179,20101002,1801,1801
Ellsworth Maclennan,01/01/1900,667,92145,20111001,924,924
Ward Ealy,07/06/1957,2410,92147,20100401,1618,1618
Herlinda Denk,03/28/1973,934,92131,20120401,1864,1864
Candace Yau,03/27/1988,283,92111,20111101,1594,1594
Noel Lupien,01/01/1900,1806,92199,20110601,753,753
Jenelle Hardin,05/05/1988,1090,92192,20100613,1158,1053
Evelyne Griffith,01/01/1900,746,92164,20110810,1968,1575
Bethel Kelson,01/01/1900,203,92114,20120501,1206,1206
Angelic Fillmore,01/01/1900,94,92147,20110804,947,947
Dominic Gullett,12/03/1988,591,92103,20120101,1451,1451
Chana Santamaria,07/04/1947,356,92167,20120101,1192,1192
Bruce Johns,01/24/1988,250,92133,20120207,1436,1436
Tawanna Porath,01/01/1900,2229,92113,20110701,1646,1646
Joselyn Mani,08/11/1949,1152,92192,20100706,1668,1668
Jillian Xu,11/19/1981,1115,92177,20120106,1320,1320
Sabrina Fleischman,01/01/1900,2025,92112,06/05/2012,1706,1706
Sarah Hewes,04/06/1949,2053,92165,20110701,1323,1323
Britni Friel,03/17/1981,247,92195,20120103,1370,1370
Wai Legge,01/01/1900,2399,92165,20101101,2115,2115
Patti Mauch,01/01/1900,1865,92117,20120501,1455,1455
,Kylee Padillo,10/06/2016,1296,92111,09/08/2011,1833,1467
Ken Litchfield,07/24/1981,1243,92134,20110305,1859,1859
Christi Schantz,01/01/1900,396,92120,20100322,1766,1536
Flossie Wilber,01/01/1900,789,92112,20100601,2114,2114
Leland Bernardino,01/01/1900,1380,92184,20100601,1823,1823
Ignacio Piel,06/27/1951,968,92119,20100901,1587,1587
Chastity Dowell,03/20/1991,372,92172,20120501,1484,1484
Tianna Greenwell,01/14/1983,2273,92190,20111101,1597,1597
Nikki Wygant,19000101,1799,92166,20100701,1640,1640
Fe Leader,01/01/1900,758,92195,20100901,1414,1414
Rodger You,01/01/1900,1957,92164,20120301,1401,1401
Johana Ozment,03/02/2013,1128,92129,11/01/2010,1480,1480
Dara Ottman,01/01/1900,498,92164,20110920,2165,1883
Cleotilde Carty,01/01/1900,423,92123,20111201,1744,1744
Bobbie Glanton,01/01/1900,224,92177,20111103,1462,1462
Eugene Cree,04/20/1977,734,92107,20100201,2061,2061
Tonie Hossain,01/01/1900,2301,92187,20100201,1770,1770
Lashawn Rotella,12/05/1985,1336,92190,20111101,,1930
Zackary Narducci,01/01/1900,2466,92176,20120201,1509,1509
Rossana Janecek,01/01/1900,1994,92142,20110401,2053,2053
Na Warburton,01/01/1900,1771,92193,20120701,1767,1767
Kimbra Sorenson,01/01/1900,1258,92107,20111001,1721,1721
Gala Griffis,04/27/1951,813,92195,20111101,1159,1159
Gracie Strasburg,01/01/1900,874,92113,20120301,1708,1708
Gudrun Pettey,11/07/1976,889,92104,20110109,2333,2121
Ramonita Mathewson,01/01/1900,1911,92139,20101003,1652,1652
Emmett Livermore,11/08/1987,701,92170,20100501,1502,1502
Kylie Beumer,01/01/1900,1299,92171,20110201,1687,1687
Ahmad Eagles,19000101,22,92190,20111001,2038,2038
Wilmer Carlin,01/01/1900,2435,92114,20110501,1627,1627
Glady Bonanno,01/01/1900,866,92113,20101009,1827,1661
Morris Poage,01/01/1900,1730,92137,20100801,1617,1617
Mercedez Purdie,01/01/1900,1667,92187,20110102,1206,1206
Octavia Robins,05/02/1973,1825,92165,20120401,-246.6,1644
Jonna Newcomb,01/01/1900,1145,92159,20120514,1619,1472
Rubin Hauck,01/01/1900,2004,92161,20110801,1937,1937
Dion Justin,19000101,582,92131,20120501,1583,1583
Luana Pegram,01/01/1900,1464,92163,20120203,1424,1424
Sheryll Isenberg,01/01/1900,2128,92115,20120801,896,896
Iva Bizzell,08/03/1964,990,92154,10/01/2011,1306,1306
Shanon Shrewsbury,01/01/1900,2081,92158,20120702,734,734
,Dorris Velez,11/25/1955,603,92109,20120601,1813,1813
,Denny Paschall,01/01/1900,561,92130,20120701,1077,1077
Harlan Colletti,04/22/1973,909,92105,20110701,1033,1033
Gaylord Pergande,06/22/1970,819,92169,20120101,1719,1719
Breanna Bowden,02/20/1964,240,92167,20120101,1623,1623
Cherilyn Kelsey,04/13/1988,382,92108,20110601,1515,1515
Candance Dively,08/13/1993,284,92164,20100701,1384,1384
Janette Flowers,01/01/1900,1037,92182,20100630,1769,1539
Monique Tonkin,08/26/1976,1727,92184,20110303,1521,1521
Phung Craw,02/09/1954,1887,92162,20120101,1257,1257
Malcolm Casali,08/12/1980,1540,92101,20100715,973,885
,Anamaria Hamernik,19601009,88,92102,20120201,1282,1282
Racquel Jimenez,11/06/1983,1905,92119,20120301,1301,1301
Danyelle Minder,01/01/1900,495,92112,20110601,1737,1737
Dorris Velez,11/25/1955,603,92109,20100801,1813,1813
Kandice Mayweather,01/01/1900,1189,92152,20110701,1478,1478
Gilda Hamilton,11/04/2001,851,92145,20100509,1799,1636
Caitlyn Kulesza,11/26/1987,270,92165,20100501,1448,1448
Efren Wilk,19391005,634,92193,20110701,2298,2298
Ettie Rozek,04/09/1983,731,92127,20120401,1360,1360
Selene Giraud,01/01/1900,2060,92150,20101201,1287,1287
Corine Modzelewski,01/01/1900,448,92103,20101103,1928,1928
Zola Howley,02/04/1984,2474,92102,20110801,1021,1021
Rolande Westby,01/01/1900,1959,92107,20110310,1676,1524
Otha Pingree,01/01/1900,1849,92109,20100804,1934,1934
Shanda Wyche,08/20/1964,2069,92105,20100801,1544,1544
Ruthe Aleman,04/07/1979,2017,92133,20101101,675,675
Bertha Dearman,01/01/1900,200,92122,20100901,1107,1107
Jamee Roundtree,01/01/1900,1021,92193,11/16/2010,1156,1051
Nelle Domingues,01/01/1900,1773,92196,20120406,1342,1342
Elda Owusu,01/01/1900,640,92147,20101001,1056,1056
Denny Paschall,01/01/1900,561,92130,20120501,1077,1077
Zoila Faler,11/20/1966,2472,92112,20111201,1396,1396
Emmett Livermore,11/08/1987,701,92170,20100801,1502,1502
Harold Bobby,01/01/1900,914,92172,06/01/2012,1208,1208
Tianna Greenwell,01/14/1983,2273,92190,20111201,1597,1597
Cleotilde Carty,01/01/1900,423,92123,20100501,1744,1744
Tori Blaker,01/01/1900,2308,92128,20110512,1698,1544
Tuan Delrio,07/05/1975,2335,92135,20110401,1701,1701
Lynell Hermes,11/20/1971,1497,92107,20120501,1565,1565
Jade Martensen,01/01/1900,1012,92194,20100701,1657,1657
Ollie Zank,01/01/1900,1842,92106,20120101,1204,1204
Dayna Kerfoot,01/01/1900,522,92163,20100801,1315,1315
Elsa Vivas,01/01/1900,674,92165,20120801,1131,1131
Meghann Moorman,11/01/1981,1651,92119,20120611,940,855
Verena Rini,06/23/1973,2364,92129,20110601,2011,2011
Lynsey Juhl,07/07/2011,1501,92166,20110901,1233,1233
Glady Sautter,01/01/1900,867,92177,20120207,1736,1736
Kori Lockamy,10/11/2011,1276,92174,20120801,2117,2117
Kary Bechard,19000101,1204,92136,20110701,1621,1621
Merle Ranallo,01/01/1900,1671,92139,20100501,1226,1226
Mertie Hoskins,03/19/1968,1679,92107,20111003,1190,1190
Dahlia Pedrick,01/01/1900,466,92196,10/09/2011,1622,1475
Maura Acton,05/03/1980,1644,92115,20120801,1671,1671
Carey Rhines,01/01/1900,295,92102,20120209,1948,1771
Marina Pankey,01/06/1964,1596,92147,20100901,825,825
Peter Hurley,19801204,1885,92165,20111001,1133,1133
Tonia Muniz,01/01/1900,2298,92111,20100401,1512,1512
Gaynell Neff,12/11/1968,821,92136,20111207,1332,1332
Florine Vu,01/01/1900,786,92112,20110801,1839,1839
Clifford Hammersley,08/09/2008,429,92114,20120701,1354,1354
Nathaniel Prahl,01/01/1900,1767,92110,20100909,1570,1256
Mertie Hoskins,03/19/1968,1679,92107,20110903,1190,1190
Dionne Aman,01/01/1900,584,92147,20121013,1262,1010
Yessenia Oconnor,01/01/1900,2450,92116,20110210,1568,1426
Ying Koogler,01/01/1900,2455,92166,20100201,1474,1474
Eleonore Tatman,01/01/1900,653,92132,20101201,1671,1671
Rose Marin,01/01/1900,1989,92176,20120304,1930,1930
Audry Talarico,07/09/1962,161,92116,20100301,1195,1195
,Shawn Drane,02/12/1991,2099,92110,20120701,2026,2026
Karmen Kroner,01/01/1900,1196,92192,20120701,1404,1404
,Foster Modeste,09/07/1968,792,92139,20100401,1359,1359
